gene_id	representative_txid	representative_pepid	peptide_length
TRINITY_DN276_c0_g1	TRINITY_DN276_c0_g1_i3	TRINITY_DN276_c0_g1_i3.p1	457
TRINITY_DN276_c0_g2	TRINITY_DN276_c0_g2_i1	TRINITY_DN276_c0_g2_i1.p1	503
TRINITY_DN28597_c0_g1	TRINITY_DN28597_c0_g1_i1	TRINITY_DN28597_c0_g1_i1.p1	102
TRINITY_DN30482_c0_g1	TRINITY_DN30482_c0_g1_i2	TRINITY_DN30482_c0_g1_i2.p1	258
TRINITY_DN3078_c0_g2	TRINITY_DN3078_c0_g2_i1	TRINITY_DN3078_c0_g2_i1.p1	540
TRINITY_DN31252_c0_g1	TRINITY_DN31252_c0_g1_i1	TRINITY_DN31252_c0_g1_i1.p1	146
TRINITY_DN352_c0_g1	TRINITY_DN352_c0_g1_i13	TRINITY_DN352_c0_g1_i13.p1	517
TRINITY_DN3637_c1_g1	TRINITY_DN3637_c1_g1_i3	TRINITY_DN3637_c1_g1_i3.p1	496
TRINITY_DN3691_c0_g1	TRINITY_DN3691_c0_g1_i15	TRINITY_DN3691_c0_g1_i15.p1	493
TRINITY_DN3752_c0_g1	TRINITY_DN3752_c0_g1_i1	TRINITY_DN3752_c0_g1_i1.p1	524
TRINITY_DN37811_c0_g1	TRINITY_DN37811_c0_g1_i1	TRINITY_DN37811_c0_g1_i1.p1	367
TRINITY_DN38689_c0_g1	TRINITY_DN38689_c0_g1_i2	TRINITY_DN38689_c0_g1_i2.p1	160
TRINITY_DN3972_c1_g1	TRINITY_DN3972_c1_g1_i3	TRINITY_DN3972_c1_g1_i3.p1	508
TRINITY_DN41557_c0_g1	TRINITY_DN41557_c0_g1_i1	TRINITY_DN41557_c0_g1_i1.p1	534
TRINITY_DN4387_c0_g2	TRINITY_DN4387_c0_g2_i1	TRINITY_DN4387_c0_g2_i1.p1	475
TRINITY_DN44701_c0_g1	TRINITY_DN44701_c0_g1_i1	TRINITY_DN44701_c0_g1_i1.p1	557
TRINITY_DN48582_c0_g1	TRINITY_DN48582_c0_g1_i2	TRINITY_DN48582_c0_g1_i2.p1	498
TRINITY_DN521_c0_g1	TRINITY_DN521_c0_g1_i10	TRINITY_DN521_c0_g1_i10.p1	531
TRINITY_DN521_c0_g2	TRINITY_DN521_c0_g2_i1	TRINITY_DN521_c0_g2_i1.p1	433
TRINITY_DN521_c0_g3	TRINITY_DN521_c0_g3_i2	TRINITY_DN521_c0_g3_i2.p1	744
TRINITY_DN521_c1_g1	TRINITY_DN521_c1_g1_i10	TRINITY_DN521_c1_g1_i10.p1	384
TRINITY_DN5241_c0_g1	TRINITY_DN5241_c0_g1_i1	TRINITY_DN5241_c0_g1_i1.p1	498
TRINITY_DN52683_c0_g1	TRINITY_DN52683_c0_g1_i1	TRINITY_DN52683_c0_g1_i1.p1	154
TRINITY_DN59296_c0_g1	TRINITY_DN59296_c0_g1_i1	TRINITY_DN59296_c0_g1_i1.p1	475
TRINITY_DN598_c0_g1	TRINITY_DN598_c0_g1_i4	TRINITY_DN598_c0_g1_i4.p1	982
TRINITY_DN762_c0_g1	TRINITY_DN762_c0_g1_i1	TRINITY_DN762_c0_g1_i1.p1	148
TRINITY_DN762_c0_g2	TRINITY_DN762_c0_g2_i1	TRINITY_DN762_c0_g2_i1.p1	380
TRINITY_DN8942_c0_g1	TRINITY_DN8942_c0_g1_i1	TRINITY_DN8942_c0_g1_i1.p1	224
TRINITY_DN9010_c0_g1	TRINITY_DN9010_c0_g1_i8	TRINITY_DN9010_c0_g1_i8.p1	505
TRINITY_DN946_c0_g1	TRINITY_DN946_c0_g1_i9	TRINITY_DN946_c0_g1_i9.p1	501
