peptide_id	transcript_id	gene_id
TRINITY_DN1840_c0_g2_i16.p4	TRINITY_DN1840_c0_g2_i16	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i16.p1	TRINITY_DN1840_c0_g2_i16	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i17.p1	TRINITY_DN1840_c0_g2_i17	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i17.p2	TRINITY_DN1840_c0_g2_i17	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i21.p1	TRINITY_DN1840_c0_g2_i21	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i23.p1	TRINITY_DN1840_c0_g2_i23	TRINITY_DN1840_c0_g2
TRINITY_DN18419_c0_g1_i11.p1	TRINITY_DN18419_c0_g1_i11	TRINITY_DN18419_c0_g1
TRINITY_DN18419_c0_g1_i13.p1	TRINITY_DN18419_c0_g1_i13	TRINITY_DN18419_c0_g1
TRINITY_DN18419_c0_g1_i4.p1	TRINITY_DN18419_c0_g1_i4	TRINITY_DN18419_c0_g1
TRINITY_DN18419_c0_g1_i8.p1	TRINITY_DN18419_c0_g1_i8	TRINITY_DN18419_c0_g1
TRINITY_DN18419_c0_g1_i9.p1	TRINITY_DN18419_c0_g1_i9	TRINITY_DN18419_c0_g1
TRINITY_DN20601_c0_g1_i1.p1	TRINITY_DN20601_c0_g1_i1	TRINITY_DN20601_c0_g1
TRINITY_DN20601_c0_g1_i2.p1	TRINITY_DN20601_c0_g1_i2	TRINITY_DN20601_c0_g1
TRINITY_DN2213_c0_g1_i1.p1	TRINITY_DN2213_c0_g1_i1	TRINITY_DN2213_c0_g1
TRINITY_DN22780_c0_g1_i1.p1	TRINITY_DN22780_c0_g1_i1	TRINITY_DN22780_c0_g1
TRINITY_DN241_c0_g2_i4.p1	TRINITY_DN241_c0_g2_i4	TRINITY_DN241_c0_g2
TRINITY_DN241_c0_g2_i6.p1	TRINITY_DN241_c0_g2_i6	TRINITY_DN241_c0_g2
TRINITY_DN257_c3_g1_i1.p1	TRINITY_DN257_c3_g1_i1	TRINITY_DN257_c3_g1
TRINITY_DN257_c3_g1_i14.p1	TRINITY_DN257_c3_g1_i14	TRINITY_DN257_c3_g1
TRINITY_DN257_c3_g1_i4.p1	TRINITY_DN257_c3_g1_i4	TRINITY_DN257_c3_g1
TRINITY_DN257_c3_g1_i8.p1	TRINITY_DN257_c3_g1_i8	TRINITY_DN257_c3_g1
TRINITY_DN25915_c0_g1_i1.p1	TRINITY_DN25915_c0_g1_i1	TRINITY_DN25915_c0_g1
TRINITY_DN25915_c0_g1_i2.p1	TRINITY_DN25915_c0_g1_i2	TRINITY_DN25915_c0_g1
TRINITY_DN25915_c0_g1_i3.p1	TRINITY_DN25915_c0_g1_i3	TRINITY_DN25915_c0_g1
TRINITY_DN25915_c0_g1_i4.p1	TRINITY_DN25915_c0_g1_i4	TRINITY_DN25915_c0_g1
TRINITY_DN25915_c0_g1_i6.p1	TRINITY_DN25915_c0_g1_i6	TRINITY_DN25915_c0_g1
TRINITY_DN26550_c0_g1_i2.p1	TRINITY_DN26550_c0_g1_i2	TRINITY_DN26550_c0_g1
TRINITY_DN26550_c0_g1_i3.p1	TRINITY_DN26550_c0_g1_i3	TRINITY_DN26550_c0_g1
TRINITY_DN26550_c0_g1_i4.p1	TRINITY_DN26550_c0_g1_i4	TRINITY_DN26550_c0_g1
TRINITY_DN26550_c0_g2_i1.p1	TRINITY_DN26550_c0_g2_i1	TRINITY_DN26550_c0_g2
TRINITY_DN26550_c0_g2_i3.p1	TRINITY_DN26550_c0_g2_i3	TRINITY_DN26550_c0_g2
TRINITY_DN276_c0_g1_i2.p2	TRINITY_DN276_c0_g1_i2	TRINITY_DN276_c0_g1
TRINITY_DN276_c0_g1_i2.p1	TRINITY_DN276_c0_g1_i2	TRINITY_DN276_c0_g1
TRINITY_DN276_c0_g1_i3.p1	TRINITY_DN276_c0_g1_i3	TRINITY_DN276_c0_g1
TRINITY_DN276_c0_g1_i4.p1	TRINITY_DN276_c0_g1_i4	TRINITY_DN276_c0_g1
TRINITY_DN276_c0_g1_i4.p2	TRINITY_DN276_c0_g1_i4	TRINITY_DN276_c0_g1
TRINITY_DN276_c0_g2_i1.p1	TRINITY_DN276_c0_g2_i1	TRINITY_DN276_c0_g2
TRINITY_DN276_c0_g2_i3.p1	TRINITY_DN276_c0_g2_i3	TRINITY_DN276_c0_g2
TRINITY_DN28597_c0_g1_i1.p1	TRINITY_DN28597_c0_g1_i1	TRINITY_DN28597_c0_g1
TRINITY_DN28597_c0_g1_i3.p1	TRINITY_DN28597_c0_g1_i3	TRINITY_DN28597_c0_g1
TRINITY_DN30482_c0_g1_i1.p1	TRINITY_DN30482_c0_g1_i1	TRINITY_DN30482_c0_g1
TRINITY_DN30482_c0_g1_i2.p1	TRINITY_DN30482_c0_g1_i2	TRINITY_DN30482_c0_g1
TRINITY_DN3078_c0_g2_i1.p1	TRINITY_DN3078_c0_g2_i1	TRINITY_DN3078_c0_g2
TRINITY_DN31252_c0_g1_i1.p1	TRINITY_DN31252_c0_g1_i1	TRINITY_DN31252_c0_g1
TRINITY_DN352_c0_g1_i13.p2	TRINITY_DN352_c0_g1_i13	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i13.p1	TRINITY_DN352_c0_g1_i13	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i15.p1	TRINITY_DN352_c0_g1_i15	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i15.p2	TRINITY_DN352_c0_g1_i15	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i16.p1	TRINITY_DN352_c0_g1_i16	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i16.p2	TRINITY_DN352_c0_g1_i16	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i2.p1	TRINITY_DN352_c0_g1_i2	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i2.p2	TRINITY_DN352_c0_g1_i2	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i20.p2	TRINITY_DN352_c0_g1_i20	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i20.p1	TRINITY_DN352_c0_g1_i20	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i23.p2	TRINITY_DN352_c0_g1_i23	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i23.p1	TRINITY_DN352_c0_g1_i23	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i6.p2	TRINITY_DN352_c0_g1_i6	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i6.p1	TRINITY_DN352_c0_g1_i6	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i7.p2	TRINITY_DN352_c0_g1_i7	TRINITY_DN352_c0_g1
TRINITY_DN352_c0_g1_i7.p1	TRINITY_DN352_c0_g1_i7	TRINITY_DN352_c0_g1
TRINITY_DN3637_c1_g1_i3.p1	TRINITY_DN3637_c1_g1_i3	TRINITY_DN3637_c1_g1
TRINITY_DN3637_c1_g1_i5.p1	TRINITY_DN3637_c1_g1_i5	TRINITY_DN3637_c1_g1
TRINITY_DN3637_c1_g1_i6.p1	TRINITY_DN3637_c1_g1_i6	TRINITY_DN3637_c1_g1
TRINITY_DN3637_c1_g1_i7.p1	TRINITY_DN3637_c1_g1_i7	TRINITY_DN3637_c1_g1
TRINITY_DN3637_c1_g1_i9.p1	TRINITY_DN3637_c1_g1_i9	TRINITY_DN3637_c1_g1
TRINITY_DN3691_c0_g1_i15.p1	TRINITY_DN3691_c0_g1_i15	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i16.p1	TRINITY_DN3691_c0_g1_i16	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i21.p1	TRINITY_DN3691_c0_g1_i21	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i24.p1	TRINITY_DN3691_c0_g1_i24	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i25.p1	TRINITY_DN3691_c0_g1_i25	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i28.p1	TRINITY_DN3691_c0_g1_i28	TRINITY_DN3691_c0_g1
TRINITY_DN3691_c0_g1_i29.p1	TRINITY_DN3691_c0_g1_i29	TRINITY_DN3691_c0_g1
TRINITY_DN3752_c0_g1_i1.p1	TRINITY_DN3752_c0_g1_i1	TRINITY_DN3752_c0_g1
TRINITY_DN3752_c0_g1_i4.p1	TRINITY_DN3752_c0_g1_i4	TRINITY_DN3752_c0_g1
TRINITY_DN3752_c0_g1_i6.p1	TRINITY_DN3752_c0_g1_i6	TRINITY_DN3752_c0_g1
TRINITY_DN37811_c0_g1_i1.p1	TRINITY_DN37811_c0_g1_i1	TRINITY_DN37811_c0_g1
TRINITY_DN38689_c0_g1_i1.p1	TRINITY_DN38689_c0_g1_i1	TRINITY_DN38689_c0_g1
TRINITY_DN38689_c0_g1_i2.p1	TRINITY_DN38689_c0_g1_i2	TRINITY_DN38689_c0_g1
TRINITY_DN3972_c1_g1_i1.p1	TRINITY_DN3972_c1_g1_i1	TRINITY_DN3972_c1_g1
TRINITY_DN3972_c1_g1_i2.p1	TRINITY_DN3972_c1_g1_i2	TRINITY_DN3972_c1_g1
TRINITY_DN3972_c1_g1_i3.p1	TRINITY_DN3972_c1_g1_i3	TRINITY_DN3972_c1_g1
TRINITY_DN3972_c1_g1_i5.p1	TRINITY_DN3972_c1_g1_i5	TRINITY_DN3972_c1_g1
TRINITY_DN41557_c0_g1_i1.p1	TRINITY_DN41557_c0_g1_i1	TRINITY_DN41557_c0_g1
TRINITY_DN4387_c0_g2_i1.p1	TRINITY_DN4387_c0_g2_i1	TRINITY_DN4387_c0_g2
TRINITY_DN44701_c0_g1_i1.p1	TRINITY_DN44701_c0_g1_i1	TRINITY_DN44701_c0_g1
TRINITY_DN48582_c0_g1_i1.p1	TRINITY_DN48582_c0_g1_i1	TRINITY_DN48582_c0_g1
TRINITY_DN48582_c0_g1_i2.p1	TRINITY_DN48582_c0_g1_i2	TRINITY_DN48582_c0_g1
TRINITY_DN48582_c0_g1_i4.p1	TRINITY_DN48582_c0_g1_i4	TRINITY_DN48582_c0_g1
TRINITY_DN521_c0_g1_i10.p1	TRINITY_DN521_c0_g1_i10	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i11.p1	TRINITY_DN521_c0_g1_i11	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i13.p2	TRINITY_DN521_c0_g1_i13	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i13.p1	TRINITY_DN521_c0_g1_i13	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i2.p1	TRINITY_DN521_c0_g1_i2	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i2.p2	TRINITY_DN521_c0_g1_i2	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i4.p1	TRINITY_DN521_c0_g1_i4	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i6.p2	TRINITY_DN521_c0_g1_i6	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i6.p1	TRINITY_DN521_c0_g1_i6	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i7.p1	TRINITY_DN521_c0_g1_i7	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i8.p1	TRINITY_DN521_c0_g1_i8	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g1_i9.p1	TRINITY_DN521_c0_g1_i9	TRINITY_DN521_c0_g1
TRINITY_DN521_c0_g2_i1.p1	TRINITY_DN521_c0_g2_i1	TRINITY_DN521_c0_g2
TRINITY_DN521_c0_g3_i1.p1	TRINITY_DN521_c0_g3_i1	TRINITY_DN521_c0_g3
TRINITY_DN521_c0_g3_i2.p1	TRINITY_DN521_c0_g3_i2	TRINITY_DN521_c0_g3
TRINITY_DN521_c0_g3_i2.p2	TRINITY_DN521_c0_g3_i2	TRINITY_DN521_c0_g3
TRINITY_DN521_c0_g3_i3.p1	TRINITY_DN521_c0_g3_i3	TRINITY_DN521_c0_g3
TRINITY_DN521_c1_g1_i1.p1	TRINITY_DN521_c1_g1_i1	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i10.p1	TRINITY_DN521_c1_g1_i10	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i11.p1	TRINITY_DN521_c1_g1_i11	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i2.p1	TRINITY_DN521_c1_g1_i2	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i3.p1	TRINITY_DN521_c1_g1_i3	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i4.p1	TRINITY_DN521_c1_g1_i4	TRINITY_DN521_c1_g1
TRINITY_DN521_c1_g1_i6.p1	TRINITY_DN521_c1_g1_i6	TRINITY_DN521_c1_g1
TRINITY_DN5241_c0_g1_i1.p1	TRINITY_DN5241_c0_g1_i1	TRINITY_DN5241_c0_g1
TRINITY_DN52683_c0_g1_i1.p1	TRINITY_DN52683_c0_g1_i1	TRINITY_DN52683_c0_g1
TRINITY_DN59296_c0_g1_i1.p1	TRINITY_DN59296_c0_g1_i1	TRINITY_DN59296_c0_g1
TRINITY_DN598_c0_g1_i1.p1	TRINITY_DN598_c0_g1_i1	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i10.p1	TRINITY_DN598_c0_g1_i10	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i13.p1	TRINITY_DN598_c0_g1_i13	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i14.p1	TRINITY_DN598_c0_g1_i14	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i15.p1	TRINITY_DN598_c0_g1_i15	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i15.p2	TRINITY_DN598_c0_g1_i15	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i2.p2	TRINITY_DN598_c0_g1_i2	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i2.p3	TRINITY_DN598_c0_g1_i2	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i2.p1	TRINITY_DN598_c0_g1_i2	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i4.p1	TRINITY_DN598_c0_g1_i4	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i4.p2	TRINITY_DN598_c0_g1_i4	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i5.p2	TRINITY_DN598_c0_g1_i5	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i5.p1	TRINITY_DN598_c0_g1_i5	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i6.p1	TRINITY_DN598_c0_g1_i6	TRINITY_DN598_c0_g1
TRINITY_DN598_c0_g1_i8.p1	TRINITY_DN598_c0_g1_i8	TRINITY_DN598_c0_g1
TRINITY_DN762_c0_g1_i1.p1	TRINITY_DN762_c0_g1_i1	TRINITY_DN762_c0_g1
TRINITY_DN762_c0_g1_i5.p1	TRINITY_DN762_c0_g1_i5	TRINITY_DN762_c0_g1
TRINITY_DN762_c0_g1_i6.p1	TRINITY_DN762_c0_g1_i6	TRINITY_DN762_c0_g1
TRINITY_DN762_c0_g1_i7.p1	TRINITY_DN762_c0_g1_i7	TRINITY_DN762_c0_g1
TRINITY_DN762_c0_g2_i1.p1	TRINITY_DN762_c0_g2_i1	TRINITY_DN762_c0_g2
TRINITY_DN762_c0_g2_i2.p1	TRINITY_DN762_c0_g2_i2	TRINITY_DN762_c0_g2
TRINITY_DN8942_c0_g1_i1.p1	TRINITY_DN8942_c0_g1_i1	TRINITY_DN8942_c0_g1
TRINITY_DN8942_c0_g1_i2.p1	TRINITY_DN8942_c0_g1_i2	TRINITY_DN8942_c0_g1
TRINITY_DN8942_c0_g1_i5.p1	TRINITY_DN8942_c0_g1_i5	TRINITY_DN8942_c0_g1
TRINITY_DN9010_c0_g1_i13.p1	TRINITY_DN9010_c0_g1_i13	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i14.p1	TRINITY_DN9010_c0_g1_i14	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i19.p1	TRINITY_DN9010_c0_g1_i19	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i2.p1	TRINITY_DN9010_c0_g1_i2	TRINITY_DN9010_c0_g1
TRINITY_DN9010_c0_g1_i4.p1	TRINITY_DN9010_c0_g1_i4	TRINITY_DN9010_c0_g1
