gene_id	protein_id	aa_length	heme_motif	PERF_motif	K_helix_motif	P450_score	old_recheck_group	domain_priority	inferred_family	final_judgment	Bmori_pident	Bmori_title	Spodo_pident	Spodo_title	core10_status	extended_status	current_phylogenetic_placement	review_priority	comment
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i12.p1	189	True	True	True	9	nonstrong14	intermediate_unclear	CYP9_like	partial_CYP_like_transcript	68.617	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	70.213	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN414_c0_g1	TRINITY_DN414_c0_g1_i2.p1	518	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	70.784	cytochrome P450 6B2 [Bombyx mori]	81.748	XP_035447350.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	in_core10	in_extended	CYP6B-like candidate	High	Placed in CYP6B-related clade.
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i3.p1	524	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	63.601	cytochrome P450 6B2 [Bombyx mori]	90.141	XP_035447497.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	in_core10	in_extended	CYP6B-like candidate	High	Same CYP6B-related region as DN414_c0_g1.
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i1.p1	392	False	False	True	5	nonstrong14	intermediate_unclear	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	60.969	cytochrome P450 CYP9A22 isoform X1 [Bombyx mori]	56.378	XP_050560900.1 probable cytochrome P450 9f2 [Spodoptera frugiperda]	not_in_core10	not_in_extended	CYP9-like homolog but motif-incomplete	Low	High-TPM unknownCYP; heme and PERF motifs missing.
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i8.p1	524	False	True	True	11	nonstrong14	long_sequence_but_heme_missing_QC	CYP49_like	CYP_homolog_but_ORF_or_motif_incomplete	62.362	probable cytochrome P450 49a1-like isoform X1 [Bombyx mori]	89.122	XP_050560204.1 probable cytochrome P450 49a1 [Spodoptera frugiperda]	not_in_core10	not_in_extended	CYP49-like homolog but heme-motif missing	Low	High-TPM unknownCYP; long sequence but heme Cys motif missing.
TRINITY_DN521_c0_g3	TRINITY_DN521_c0_g3_i2.p1	744	False	True	True	3	unmatched	abnormal_long_sequence_QC	non-CYP_or_transposon_related	exclude_or_review_as_non-CYP	54.63	probable RNA-directed DNA polymerase from transposon X-element isoform X2 [Bombyx mori]	26.397	XP_050555743.1 uncharacterized protein LOC126911635 [Spodoptera frugiperda]	not_in_core10	not_in_extended	additional unmatched candidate	Low	Additional candidate present in integrated interpretation table but absent from old strong9/nonstrong14 FASTA sets.
TRINITY_DN52336_c0_g1	TRINITY_DN52336_c0_g1_i1.p1	280	True	True	True	12	nonstrong14	partial_but_motif_complete_CYP	CYP9_like	partial_CYP_like_transcript	70.0	cytochrome P450 9e2 isoform X2 [Bombyx mori]	87.143	XP_035433316.2 cytochrome P450 9e2 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN5504_c1_g2	TRINITY_DN5504_c1_g2_i2.p1	513	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP314/ecdysone_20-hydroxylase_like	high_confidence_endogenous_CYP_candidate	72.868	ecdysone 20-hydroxylase [Bombyx mori]	77.309	XP_035452950.1 ecdysone 20-monooxygenase isoform X2 [Spodoptera frugiperda]	in_core10	in_extended	CYP49A1/CYP301A1-adjacent unresolved	Low	Long branch; avoid specific family assignment.
TRINITY_DN56789_c0_g1	TRINITY_DN56789_c0_g1_i1.p1	138	False	False	False	-2	nonstrong14	short_low_confidence_fragment	CYP305_like	CYP_homolog_but_ORF_or_motif_incomplete	56.115	cytochrome P450 Cyp305B1 isoform X1 [Bombyx mori]	88.406	XP_035435890.2 probable cytochrome P450 305a1 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN598_c0_g1	TRINITY_DN598_c0_g1_i1.p1	513	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	73.084	cytochrome P450, family 6, subfamily ab, polypeptide 5 [Bombyx mori]	90.215	XP_035444666.2 cytochrome P450 6B2 [Spodoptera frugiperda]	in_core10	in_extended	CYP6B-like candidate	High	High-TPM unknownCYP; placed near CYP6B7-like/CYP6B6-related clade.
TRINITY_DN6330_c0_g1	TRINITY_DN6330_c0_g1_i1.p1	533	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	57.447	cytochrome P450 CYP6AE9 isoform X1 [Bombyx mori]	82.205	XP_035446810.2 cytochrome P450 6B2 isoform X2 [Spodoptera frugiperda]	in_core10	in_extended	CYP6B/6AE-like candidate	High	Strong placement near CYP6AE21/CYP6B4-like group.
TRINITY_DN6341_c0_g1	TRINITY_DN6341_c0_g1_i2.p1	165	True	True	True	9	nonstrong14	intermediate_unclear	CYP9_like	partial_CYP_like_transcript	75.758	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	83.636	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN6341_c1_g1	TRINITY_DN6341_c1_g1_i1.p1	283	False	False	True	4	nonstrong14	intermediate_unclear	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	66.078	cytochrome P450 9a20 [Bombyx mori]	73.214	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i12.p1	536	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP18_like	high_confidence_endogenous_CYP_candidate	79.852	cytochrome P450 18a1 [Bombyx mori]	84.045	XP_035436527.1 cytochrome P450 18a1 [Spodoptera frugiperda]	in_core10	in_extended	CYP18A1-like candidate	Medium	Placed near CYP18A1-like clade.
