gene_id	selected_protein_id	aa_length_no_terminal_stop	heme_Cys_motif_FxxGxxxCxG	PERF_motif	K_helix_motif_ExxR	P450_score	classification_note	Bmori_pident	Bmori_title	Spodoptera_pident	Spodoptera_title	inferred_family	final_judgment	old_recheck_group	domain_priority
TRINITY_DN3806_c0_g2	TRINITY_DN3806_c0_g2_i12.p1	189	True	True	True	9	short_or_fragmentary_CYP_like	68.617	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	70.213	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	CYP9_like	partial_CYP_like_transcript	nonstrong14	intermediate_unclear
TRINITY_DN414_c0_g1	TRINITY_DN414_c0_g1_i2.p1	518	True	True	True	16	strong_full_length_CYP_like	70.784	cytochrome P450 6B2 [Bombyx mori]	81.748	XP_035447350.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN414_c0_g2	TRINITY_DN414_c0_g2_i3.p1	524	True	True	True	16	strong_full_length_CYP_like	63.601	cytochrome P450 6B2 [Bombyx mori]	90.141	XP_035447497.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN420_c0_g1	TRINITY_DN420_c0_g1_i1.p1	392	False	False	True	5	weak_P450_evidence	60.969	cytochrome P450 CYP9A22 isoform X1 [Bombyx mori]	56.378	XP_050560900.1 probable cytochrome P450 9f2 [Spodoptera frugiperda]	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	intermediate_unclear
TRINITY_DN4939_c0_g1	TRINITY_DN4939_c0_g1_i8.p1	524	False	True	True	11	weak_P450_evidence	62.362	probable cytochrome P450 49a1-like isoform X1 [Bombyx mori]	89.122	XP_050560204.1 probable cytochrome P450 49a1 [Spodoptera frugiperda]	CYP49_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	long_sequence_but_heme_missing_QC
TRINITY_DN521_c0_g3	TRINITY_DN521_c0_g3_i2.p1	744	False	True	True	3	too_long_possible_fusion_or_wrong_ORF	54.63	probable RNA-directed DNA polymerase from transposon X-element isoform X2 [Bombyx mori]	26.397	XP_050555743.1 uncharacterized protein LOC126911635 [Spodoptera frugiperda]	non-CYP_or_transposon_related	exclude_or_review_as_non-CYP	unmatched	abnormal_long_sequence_QC
TRINITY_DN52336_c0_g1	TRINITY_DN52336_c0_g1_i1.p1	280	True	True	True	12	short_or_fragmentary_CYP_like	70.0	cytochrome P450 9e2 isoform X2 [Bombyx mori]	87.143	XP_035433316.2 cytochrome P450 9e2 [Spodoptera frugiperda]	CYP9_like	partial_CYP_like_transcript	nonstrong14	partial_but_motif_complete_CYP
TRINITY_DN5504_c1_g2	TRINITY_DN5504_c1_g2_i2.p1	513	True	True	True	16	strong_full_length_CYP_like	72.868	ecdysone 20-hydroxylase [Bombyx mori]	77.309	XP_035452950.1 ecdysone 20-monooxygenase isoform X2 [Spodoptera frugiperda]	CYP314/ecdysone_20-hydroxylase_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN56789_c0_g1	TRINITY_DN56789_c0_g1_i1.p1	138	False	False	False	-2	short_fragment_or_non_CYP	56.115	cytochrome P450 Cyp305B1 isoform X1 [Bombyx mori]	88.406	XP_035435890.2 probable cytochrome P450 305a1 [Spodoptera frugiperda]	CYP305_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	short_low_confidence_fragment
TRINITY_DN598_c0_g1	TRINITY_DN598_c0_g1_i1.p1	513	True	True	True	16	strong_full_length_CYP_like	73.084	cytochrome P450, family 6, subfamily ab, polypeptide 5 [Bombyx mori]	90.215	XP_035444666.2 cytochrome P450 6B2 [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN6330_c0_g1	TRINITY_DN6330_c0_g1_i1.p1	533	True	True	True	16	strong_full_length_CYP_like	57.447	cytochrome P450 CYP6AE9 isoform X1 [Bombyx mori]	82.205	XP_035446810.2 cytochrome P450 6B2 isoform X2 [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN6341_c0_g1	TRINITY_DN6341_c0_g1_i2.p1	165	True	True	True	9	short_or_fragmentary_CYP_like	75.758	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	83.636	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	CYP9_like	partial_CYP_like_transcript	nonstrong14	intermediate_unclear
TRINITY_DN6341_c1_g1	TRINITY_DN6341_c1_g1_i1.p1	283	False	False	True	4	weak_P450_evidence	66.078	cytochrome P450 9a20 [Bombyx mori]	73.214	XP_035430190.2 cytochrome P450 9e2 [Spodoptera frugiperda]	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	intermediate_unclear
TRINITY_DN6927_c0_g1	TRINITY_DN6927_c0_g1_i12.p1	536	True	True	True	16	strong_full_length_CYP_like	79.852	cytochrome P450 18a1 [Bombyx mori]	84.045	XP_035436527.1 cytochrome P450 18a1 [Spodoptera frugiperda]	CYP18_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
