qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	qlen	sstart	send	slen	evalue	bitscore	qcov	scov
TRINITY_DN3634_c0_g1_i1.p1	Bmori|NP_001104822.1	43.333	30	17	0	168	197	202	130	159	535	0.71	22.3	14.8515	5.60748
TRINITY_DN22312_c0_g2_i1.p1	Spodoptera|XP_035450368.2	26.667	75	48	2	162	236	395	326	393	538	0.25	25.0	18.9873	13.9405
TRINITY_DN39643_c0_g2_i1.p1	Spodoptera|XP_035438336.2	21.591	264	148	10	4	251	400	65	285	553	0.89	23.1	66	47.7396
TRINITY_DN4686_c0_g1_i3.p1	Bmori|NP_001268820.1	26.786	56	37	1	4	55	100	288	343	531	0.14	22.7	56	10.5461
TRINITY_DN4686_c0_g1_i3.p1	Bmori|XP_004933503.2	34.211	38	19	1	44	81	100	369	400	581	0.36	21.6	38	6.54045
TRINITY_DN4686_c0_g1_i3.p1	Spodoptera|XP_035459067.2	50.000	26	7	2	7	26	100	513	538	546	0.48	21.2	26	4.7619
TRINITY_DN1110_c0_g2_i1.p1	Bmori|NP_001116814.1	32.759	58	30	3	50	99	461	125	181	545	0.67	23.9	12.5813	10.6422
TRINITY_DN7866_c0_g2_i4.p1	Spodoptera|XP_050553603.1	34.783	23	15	0	27	49	144	142	164	554	0.95	21.2	15.9722	4.15162
TRINITY_DN3773_c0_g1_i1.p1	Bmori|XP_004924613.1	31.250	32	22	0	163	194	527	376	407	567	0.82	23.9	6.07211	5.64374
TRINITY_DN9435_c0_g1_i1.p1	Bmori|NP_001116501.1	24.719	89	55	3	385	470	841	461	540	545	0.17	26.6	10.5826	16.3303
TRINITY_DN9435_c0_g1_i1.p1	Bmori|XP_004924611.1	22.951	61	41	2	707	767	841	127	181	555	0.34	25.8	7.25327	10.991
TRINITY_DN9435_c0_g1_i1.p1	Spodoptera|XP_035430264.2	20.290	69	49	1	707	775	841	121	183	562	0.38	25.4	8.20452	12.2776
TRINITY_DN5342_c0_g1_i2.p1	Spodoptera|XP_050549265.1	19.255	161	115	5	72	220	416	199	356	532	0.14	25.8	38.7019	30.2632
TRINITY_DN5342_c0_g1_i2.p1	Spodoptera|XP_050551626.1	25.000	112	66	4	164	263	416	963	1068	1092	0.26	25.0	26.9231	10.2564
TRINITY_DN5342_c0_g1_i2.p1	Spodoptera|XP_035435407.2	31.111	45	30	1	351	395	416	221	264	583	0.33	24.6	10.8173	7.7187
TRINITY_DN1924_c0_g1_i1.p1	Spodoptera|XP_035450368.2	33.962	53	30	2	276	325	1180	425	475	538	0.25	26.6	4.49153	9.8513
TRINITY_DN21098_c0_g1_i1.p1	Spodoptera|XP_035435877.2	30.233	86	52	3	150	234	249	389	467	585	0.006	29.3	34.5382	14.7009
TRINITY_DN21098_c0_g1_i1.p1	Bmori|XP_062527686.1	27.885	104	69	3	107	205	249	355	457	545	0.29	23.9	41.7671	19.0826
TRINITY_DN41216_c0_g1_i1.p1	Bmori|XP_004932947.1	37.931	29	18	0	183	211	215	377	405	533	0.49	22.7	13.4884	5.4409
TRINITY_DN52747_c0_g1_i1.p1	Bmori|NP_001040466.1	26.471	68	39	2	44	111	115	128	184	756	0.038	24.6	59.1304	8.99471
TRINITY_DN52747_c0_g1_i1.p1	Bmori|XP_012549721.1	26.471	68	39	2	44	111	115	112	168	740	0.049	24.6	59.1304	9.18919
TRINITY_DN28927_c0_g1_i1.p1	Bmori|NP_001040174.1	42.857	21	11	1	34	54	119	219	238	540	0.11	23.5	17.6471	3.88889
TRINITY_DN28927_c0_g1_i1.p1	Spodoptera|XP_035429431.2	21.622	37	29	0	82	118	119	349	385	553	0.77	21.2	31.0924	6.69078
TRINITY_DN23626_c1_g1_i4.p1	Spodoptera|XP_035430420.2	31.148	61	32	2	72	132	151	424	474	554	0.28	22.7	40.3974	11.0108
TRINITY_DN18471_c0_g1_i1.p1	Bmori|NP_001268820.1	23.188	69	49	2	5	73	386	392	456	531	0.36	24.3	17.8756	12.9944
TRINITY_DN7050_c0_g1_i1.p1	Bmori|NP_001037027.1	36.364	22	11	1	20	38	107	115	136	570	0.26	22.3	20.5607	3.85965
TRINITY_DN7050_c0_g1_i1.p1	Spodoptera|XP_035438336.2	33.333	30	17	1	77	103	107	57	86	553	0.46	21.6	28.0374	5.42495
TRINITY_DN50223_c0_g1_i1.p1	Bmori|XP_004933450.1	38.889	18	11	0	16	33	102	429	446	580	0.77	20.8	17.6471	3.10345
TRINITY_DN50223_c0_g1_i1.p1	Spodoptera|XP_035444718.2	31.818	22	15	0	59	80	102	389	410	532	0.82	20.4	21.5686	4.13534
TRINITY_DN50223_c0_g1_i1.p1	Bmori|XP_037869367.1	47.059	17	9	0	16	32	102	400	416	533	0.88	20.4	16.6667	3.18949
TRINITY_DN50223_c0_g1_i1.p1	Bmori|XP_062526727.1	47.059	17	9	0	16	32	102	400	416	533	0.89	20.4	16.6667	3.18949
TRINITY_DN50223_c0_g1_i1.p1	Bmori|XP_037869459.1	47.059	17	9	0	16	32	102	400	416	533	0.91	20.4	16.6667	3.18949
TRINITY_DN11060_c0_g1_i1.p1	Bmori|XP_004932948.1	53.333	15	7	0	253	267	273	44	58	325	0.44	23.5	5.49451	4.61538
TRINITY_DN10124_c0_g1_i1.p1	Spodoptera|XP_035456135.2	38.235	34	21	0	431	464	668	716	749	750	0.62	24.6	5.08982	4.53333
TRINITY_DN10124_c0_g1_i1.p1	Spodoptera|XP_035456134.2	38.235	34	21	0	431	464	668	810	843	844	0.62	24.6	5.08982	4.02844
TRINITY_DN10124_c0_g1_i1.p1	Bmori|XP_012549721.1	38.235	34	21	0	431	464	668	706	739	740	0.79	24.3	5.08982	4.59459
TRINITY_DN10124_c0_g1_i1.p1	Bmori|NP_001040466.1	38.235	34	21	0	431	464	668	722	755	756	0.80	24.3	5.08982	4.49735
TRINITY_DN54455_c0_g1_i1.p1	Spodoptera|XP_050553603.1	29.730	37	25	1	64	99	100	440	476	554	0.46	21.2	37	6.6787
TRINITY_DN51137_c0_g1_i1.p1	Spodoptera|XP_035452555.2	35.897	39	22	1	77	115	163	386	421	627	0.048	25.4	23.9264	6.2201
TRINITY_DN51137_c0_g1_i1.p1	Bmori|XP_004924613.1	28.846	52	34	1	82	130	163	257	308	567	0.34	22.7	31.9018	9.17108
TRINITY_DN547_c2_g1_i6.p1	Bmori|XP_004932948.1	22.436	156	95	5	444	575	613	24	177	325	0.023	28.9	25.4486	48
TRINITY_DN547_c2_g1_i6.p1	Spodoptera|XP_035449631.1	25.000	72	52	2	24	94	613	312	382	567	0.31	25.4	11.7455	12.6984
TRINITY_DN547_c2_g1_i6.p1	Bmori|NP_001268820.1	29.730	37	23	1	435	468	613	7	43	531	0.48	24.6	6.03589	6.96798
TRINITY_DN53542_c0_g1_i1.p1	Spodoptera|XP_035438336.2	34.286	35	22	1	39	73	104	387	420	553	0.32	21.9	33.6538	6.32911
TRINITY_DN24137_c0_g1_i1.p1	Bmori|XP_004924613.1	40.000	25	15	0	59	83	119	60	84	567	0.073	23.9	21.0084	4.40917
TRINITY_DN24137_c0_g1_i1.p1	Spodoptera|XP_035430420.2	45.833	24	10	1	60	83	119	64	84	554	0.12	23.5	20.1681	4.33213
TRINITY_DN1366_c0_g1_i20.p1	Spodoptera|XP_035430907.2	22.222	72	55	1	474	545	685	474	544	562	0.65	24.3	10.5109	12.8114
TRINITY_DN1366_c0_g1_i20.p1	Bmori|XP_012549721.1	26.786	56	31	1	245	290	685	682	737	740	0.71	24.3	8.17518	7.56757
TRINITY_DN1366_c0_g1_i20.p1	Bmori|NP_001040466.1	26.786	56	31	1	245	290	685	698	753	756	0.72	24.3	8.17518	7.40741
TRINITY_DN547_c2_g2_i12.p1	Bmori|XP_004932948.1	23.718	156	93	7	608	739	781	24	177	325	0.045	28.1	19.9744	48
TRINITY_DN547_c2_g2_i12.p1	Spodoptera|XP_035449631.1	25.000	72	52	2	188	258	781	312	382	567	0.46	25.0	9.21895	12.6984
TRINITY_DN547_c2_g2_i12.p1	Bmori|NP_001268820.1	29.730	37	23	1	599	632	781	7	43	531	0.62	24.6	4.73752	6.96798
TRINITY_DN20719_c0_g1_i5.p1	Bmori|NP_001040174.1	72.727	11	3	0	125	135	164	229	239	540	0.41	22.7	6.70732	2.03704
TRINITY_DN11176_c0_g1_i1.p1	Spodoptera|XP_035435407.2	37.037	27	10	1	89	115	124	83	102	583	0.78	21.2	21.7742	4.63122
TRINITY_DN831_c3_g1_i5.p1	Spodoptera|XP_035456134.2	31.034	29	20	0	427	455	490	389	417	844	0.76	23.9	5.91837	3.43602
TRINITY_DN831_c3_g1_i5.p1	Spodoptera|XP_035456135.2	31.034	29	20	0	427	455	490	295	323	750	0.79	23.5	5.91837	3.86667
TRINITY_DN10961_c0_g1_i4.p1	Spodoptera|XP_035442586.2	26.531	49	36	0	595	643	1217	341	389	553	0.57	25.4	4.02629	8.86076
TRINITY_DN547_c2_g5_i5.p1	Spodoptera|XP_035456134.2	53.846	26	11	1	122	146	260	1	26	844	0.89	22.3	10	3.08057
TRINITY_DN3633_c0_g1_i1.p1	Spodoptera|XP_035451693.2	22.222	99	62	3	356	454	461	16	99	528	0.52	24.3	21.4751	18.75
TRINITY_DN3633_c0_g1_i1.p1	Spodoptera|XP_050551513.1	36.667	30	14	1	378	407	461	3	27	589	0.58	23.9	6.50759	5.09338
TRINITY_DN17536_c0_g1_i1.p2	Spodoptera|XP_050551626.1	37.500	24	11	1	59	82	108	1036	1055	1092	0.75	20.8	22.2222	2.1978
TRINITY_DN547_c2_g6_i1.p1	Spodoptera|XP_035456134.2	53.846	26	11	1	76	100	190	1	26	844	0.61	22.3	13.6842	3.08057
TRINITY_DN547_c2_g6_i1.p1	Spodoptera|XP_035435877.2	31.034	29	20	0	54	82	190	529	557	585	0.80	21.9	15.2632	4.95726
TRINITY_DN19941_c0_g1_i3.p1	Spodoptera|XP_035442586.2	34.545	55	25	3	520	563	976	443	497	553	0.76	24.6	5.63525	9.94575
TRINITY_DN582_c0_g1_i1.p1	Spodoptera|XP_035430907.2	29.412	34	24	0	451	484	499	256	289	562	0.051	27.3	6.81363	6.04982
TRINITY_DN582_c0_g1_i1.p1	Spodoptera|XP_035452555.2	33.333	81	47	4	198	276	499	380	455	627	0.43	24.6	16.2325	12.9187
TRINITY_DN27456_c0_g2_i1.p1	Spodoptera|XP_035430907.2	39.286	28	17	0	223	250	446	369	396	562	0.12	26.2	6.27803	4.98221
TRINITY_DN27456_c0_g2_i1.p1	Spodoptera|XP_035430264.2	39.286	28	17	0	223	250	446	369	396	562	0.29	25.0	6.27803	4.98221
TRINITY_DN3772_c0_g1_i1.p1	Bmori|NP_001104822.1	28.814	59	36	2	332	388	671	269	323	535	0.45	25.0	8.79285	11.028
TRINITY_DN3772_c0_g1_i1.p1	Bmori|NP_001040466.1	20.000	110	80	3	303	406	671	487	594	756	0.49	25.0	16.3934	14.5503
TRINITY_DN32208_c0_g1_i1.p1	Spodoptera|XP_035445144.1	34.615	52	30	1	34	81	124	33	84	332	0.063	24.3	41.9355	15.6627
TRINITY_DN3749_c0_g1_i4.p1	Spodoptera|XP_035438336.2	80.000	10	2	0	149	158	307	336	345	553	0.92	22.7	3.25733	1.80832
TRINITY_DN58407_c0_g1_i1.p1	Bmori|NP_001121786.1	25.000	60	37	1	57	108	137	4	63	650	0.053	25.0	43.7956	9.23077
TRINITY_DN2161_c0_g1_i1.p1	Spodoptera|XP_035459067.2	21.739	92	58	3	171	257	296	107	189	546	0.51	23.5	31.0811	16.8498
TRINITY_DN2161_c0_g1_i1.p1	Bmori|NP_001116814.1	22.826	92	57	3	171	257	296	107	189	545	0.60	23.1	31.0811	16.8807
TRINITY_DN5341_c0_g1_i11.p1	Bmori|XP_004924612.2	35.714	42	26	1	466	506	1273	115	156	550	1.00	24.6	3.29929	7.63636
TRINITY_DN15151_c0_g1_i1.p1	Spodoptera|XP_035444718.2	29.851	67	34	3	23	76	128	190	256	532	0.036	25.0	52.3438	12.594
TRINITY_DN15151_c0_g1_i1.p1	Spodoptera|XP_035435407.2	29.310	58	38	2	70	124	128	428	485	583	0.10	23.9	45.3125	9.94854
TRINITY_DN15151_c0_g1_i1.p1	Bmori|XP_004932948.1	20.000	50	40	0	21	70	128	1	50	325	0.69	21.2	39.0625	15.3846
TRINITY_DN20882_c0_g1_i1.p1	Bmori|NP_001116501.1	37.037	27	17	0	73	99	151	255	281	545	0.97	21.2	17.8808	4.95413
TRINITY_DN302_c0_g1_i10.p1	Bmori|XP_037869459.1	37.931	29	18	0	266	294	462	339	367	533	0.043	27.7	6.27706	5.4409
TRINITY_DN302_c0_g1_i10.p1	Bmori|XP_062526727.1	34.483	29	19	0	266	294	462	339	367	533	0.051	27.3	6.27706	5.4409
TRINITY_DN1225_c0_g3_i1.p1	Spodoptera|XP_050551626.1	33.333	36	22	1	380	415	423	356	389	1092	0.55	23.9	8.51064	3.2967
TRINITY_DN2266_c2_g1_i7.p2	Bmori|XP_004924612.2	40.909	22	12	1	42	62	122	486	507	550	0.047	24.6	18.0328	4
TRINITY_DN2266_c2_g1_i7.p2	Spodoptera|XP_035435407.2	34.483	29	16	1	44	72	122	517	542	583	0.99	20.8	23.7705	4.97427
TRINITY_DN6811_c0_g1_i6.p1	Spodoptera|XP_035435407.2	57.143	14	6	0	133	146	219	498	511	583	0.34	23.5	6.39269	2.40137
TRINITY_DN11036_c0_g1_i3.p1	Spodoptera|XP_035449631.1	39.394	33	19	1	23	55	134	332	363	567	0.037	25.4	24.6269	5.82011
TRINITY_DN11036_c0_g1_i3.p1	Spodoptera|XP_035449631.1	47.059	17	9	0	45	61	134	404	420	567	0.98	20.8	12.6866	2.99824
TRINITY_DN11036_c0_g1_i3.p1	Bmori|NP_001037027.1	34.375	32	15	2	23	49	134	336	366	570	0.44	21.9	23.8806	5.61404
TRINITY_DN49679_c0_g1_i1.p1	Bmori|XP_062527686.1	31.034	58	34	1	155	212	387	163	214	545	0.41	24.3	14.9871	10.6422
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_050553603.1	74.725	91	23	0	29	119	124	1	91	554	2.84e-50	160	73.3871	16.426
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035429431.2	80.723	83	16	0	29	111	124	1	83	553	2.96e-49	157	66.9355	15.009
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_050553323.1	62.651	83	31	0	29	111	124	1	83	565	1.36e-36	123	66.9355	14.6903
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035430420.2	59.036	83	34	0	29	111	124	1	83	554	2.91e-34	116	66.9355	14.9819
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004924611.1	54.945	91	38	2	29	116	124	1	91	555	4.24e-31	107	73.3871	16.3964
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035430264.2	50.588	85	40	1	31	113	124	2	86	562	9.97e-30	103	68.5484	15.1246
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035430907.2	50.602	83	40	1	31	112	124	2	84	562	5.46e-29	102	66.9355	14.7687
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004924612.2	45.455	99	51	1	29	124	124	1	99	550	1.52e-25	92.0	79.8387	18
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004924613.1	45.070	71	36	1	50	120	124	25	92	567	2.93e-19	74.3	57.2581	12.522
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001116814.1	36.047	86	53	2	29	113	124	1	85	545	1.42e-14	60.8	69.3548	15.7798
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035459067.2	37.500	80	48	2	35	113	124	7	85	546	2.45e-13	57.4	64.5161	14.652
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035452555.2	43.636	55	31	0	55	109	124	26	80	627	1.09e-11	52.8	44.3548	8.77193
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001040174.1	36.145	83	43	3	34	111	124	8	85	540	1.60e-10	49.3	66.9355	15.3704
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004933450.1	36.232	69	40	1	52	116	124	22	90	580	2.86e-10	48.5	55.6452	11.8966
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001121786.1	34.118	85	55	1	29	112	124	1	85	650	7.48e-10	47.4	68.5484	13.0769
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_012549721.1	41.270	63	34	2	52	111	124	7	69	740	1.96e-09	46.2	50.8065	8.51351
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_050549265.1	36.923	65	36	2	52	111	124	5	69	532	4.71e-09	45.1	52.4194	12.218
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001040466.1	39.683	63	35	2	52	111	124	23	85	756	1.99e-08	43.1	50.8065	8.33333
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035456134.2	43.750	48	24	2	52	96	124	117	164	844	2.65e-08	42.7	38.7097	5.6872
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035435407.2	38.000	50	31	0	67	116	124	44	93	583	2.71e-08	42.7	40.3226	8.57633
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035456135.2	43.750	48	24	2	52	96	124	23	70	750	3.65e-08	42.4	38.7097	6.4
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035450368.2	38.462	65	36	1	51	111	124	3	67	538	3.83e-08	42.4	52.4194	12.0818
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001104822.1	35.385	65	38	1	51	111	124	3	67	535	5.97e-08	42.0	52.4194	12.1495
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_050560005.1	33.929	56	33	1	51	102	124	21	76	570	7.36e-08	41.6	45.1613	9.82456
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035444718.2	34.921	63	38	1	52	111	124	6	68	532	1.66e-07	40.4	50.8065	11.8421
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004932947.1	36.508	63	37	2	52	111	124	6	68	533	1.74e-07	40.4	50.8065	11.8199
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_050551513.1	29.348	92	56	3	29	111	124	1	92	589	2.44e-07	40.0	74.1935	15.6197
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_062526727.1	32.308	65	43	1	52	116	124	24	87	533	2.55e-07	40.0	52.4194	12.1951
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_037869367.1	32.308	65	43	1	52	116	124	24	87	533	2.68e-07	40.0	52.4194	12.1951
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_037869459.1	33.871	62	40	1	52	113	124	24	84	533	2.92e-07	40.0	50	11.6323
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001116501.1	26.829	82	57	2	33	114	124	11	89	545	8.78e-07	38.5	66.129	15.0459
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035435877.2	38.636	44	27	0	68	111	124	47	90	585	1.33e-06	38.1	35.4839	7.52137
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001177297.1	37.500	64	37	2	48	111	124	17	77	526	3.26e-06	37.0	51.6129	12.1673
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001037027.1	31.818	66	41	3	60	124	124	45	107	570	4.88e-06	36.2	53.2258	11.5789
TRINITY_DN2020_c0_g1_i1.p1	Bmori|NP_001268820.1	37.097	62	36	3	56	116	124	31	90	531	2.40e-05	34.3	50	11.6761
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035442586.2	34.921	63	39	1	42	102	124	2	64	553	3.41e-05	33.9	50.8065	11.3924
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_062527686.1	25.000	88	63	2	24	111	124	2	86	545	3.40e-04	31.2	70.9677	16.1468
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_062526066.1	37.037	54	32	2	51	102	124	11	64	558	0.001	29.6	43.5484	9.67742
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035451693.2	26.923	78	52	3	34	111	124	10	82	528	0.002	28.9	62.9032	14.7727
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035438336.2	31.818	44	30	0	63	106	124	25	68	553	0.005	27.3	35.4839	7.9566
TRINITY_DN2020_c0_g1_i1.p1	Spodoptera|XP_035449631.1	36.585	41	25	1	71	111	124	54	93	567	0.006	27.3	33.0645	7.23104
TRINITY_DN2020_c0_g1_i1.p1	Bmori|XP_004933503.2	34.375	32	17	1	72	103	124	47	74	581	0.044	24.6	25.8065	5.50775
TRINITY_DN5200_c0_g1_i14.p1	Bmori|XP_062526066.1	30.189	53	30	2	57	109	183	331	376	558	0.24	23.5	28.9617	9.49821
TRINITY_DN57634_c0_g1_i1.p1	Bmori|XP_004933450.1	40.000	20	12	0	72	91	134	561	580	580	0.47	21.9	14.9254	3.44828
TRINITY_DN57634_c0_g1_i1.p1	Bmori|NP_001037027.1	34.615	26	17	0	10	35	134	345	370	570	0.54	21.9	19.403	4.5614
TRINITY_DN4545_c0_g1_i1.p1	Spodoptera|XP_035444718.2	37.500	40	22	2	11	49	196	72	109	532	0.37	23.1	20.4082	7.5188
TRINITY_DN5719_c1_g1_i6.p1	Bmori|XP_004924613.1	27.811	169	96	11	107	257	266	397	557	567	0.016	28.1	63.5338	29.806
TRINITY_DN3632_c0_g1_i5.p1	Spodoptera|XP_035430907.2	38.710	31	19	0	1171	1201	1647	485	515	562	0.48	26.2	1.88221	5.51601
TRINITY_DN31574_c0_g1_i1.p1	Spodoptera|XP_050553603.1	37.931	29	17	1	167	194	431	454	482	554	0.85	23.5	6.72854	5.23466
TRINITY_DN31574_c0_g1_i1.p1	Spodoptera|XP_050553323.1	31.915	47	25	3	167	212	431	427	467	565	0.87	23.1	10.9049	8.31858
TRINITY_DN685_c2_g2_i10.p1	Spodoptera|XP_050551626.1	31.250	48	33	0	428	475	1047	393	440	1092	0.30	26.2	4.58453	4.3956
TRINITY_DN7864_c0_g1_i20.p1	Bmori|XP_004924612.2	35.849	53	24	2	688	732	2549	97	147	550	0.23	27.7	2.07925	9.63636
TRINITY_DN300_c0_g1_i1.p1	Spodoptera|XP_035445144.1	28.947	38	27	0	196	233	309	174	211	332	0.055	26.6	12.2977	11.4458
TRINITY_DN300_c0_g1_i1.p1	Bmori|XP_037869459.1	53.333	15	7	0	144	158	309	126	140	533	0.55	23.5	4.85437	2.81426
TRINITY_DN300_c0_g1_i1.p1	Bmori|XP_037869367.1	25.532	94	53	3	197	275	309	255	346	533	0.95	22.7	30.4207	17.636
TRINITY_DN29162_c0_g1_i1.p1	Bmori|XP_004924612.2	37.778	45	23	1	271	310	332	323	367	550	0.20	25.0	13.5542	8.18182
TRINITY_DN9571_c0_g1_i2.p1	Bmori|XP_037869459.1	31.034	29	20	0	90	118	236	256	284	533	0.31	23.5	12.2881	5.4409
TRINITY_DN38705_c0_g2_i1.p1	Bmori|NP_001116501.1	28.070	57	30	1	20	65	117	321	377	545	0.029	25.0	48.7179	10.4587
TRINITY_DN38705_c0_g2_i1.p1	Spodoptera|XP_035438336.2	41.935	31	18	0	84	114	117	315	345	553	0.11	23.5	26.4957	5.60579
TRINITY_DN38705_c0_g2_i1.p1	Bmori|XP_062526066.1	66.667	12	4	0	84	95	117	316	327	558	0.79	20.8	10.2564	2.15054
TRINITY_DN38705_c0_g2_i1.p1	Spodoptera|XP_035430264.2	34.483	29	19	0	84	112	117	317	345	562	0.94	20.8	24.7863	5.16014
TRINITY_DN5340_c0_g2_i6.p1	Bmori|XP_004924611.1	41.176	34	19	1	178	210	372	458	491	555	0.88	23.1	9.13978	6.12613
TRINITY_DN2137_c0_g1_i1.p1	Spodoptera|XP_035429431.2	47.368	19	10	0	25	43	231	413	431	553	0.78	22.3	8.22511	3.4358
