Name_x	SRR14535554	SRR14535555	SRR14535556	SRR14535564	SRR14535565	SRR14535566	Mean_TPM	Max_TPM	seqid	start	end	strand	ID	Name_y	transcript_id	gene	product	gbkey	raw_attr	match_id	match_source	cyp_symbol_guess
NM_001110534.1	6.312863	4.091026	3.86108	6.234018	4.617555	5.368511	5.080842166666667	6.312863	NC_085118.1	8852957	8860165	-	rna-NM_001110534.1	NM_001110534.1	NM_001110534.1	Cyp6ae9	cytochrome P450 CYP6AE9	mRNA	ID=rna-NM_001110534.1;Parent=gene-Cyp6ae9;Dbxref=GeneID:100126548,GenBank:NM_001110534.1;Name=NM_001110534.1;Note=The RefSeq transcript has 3 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ae9;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110534.1;product=cytochrome P450 CYP6AE9;transcript_id=NM_001110534.1	NM_001110534.1	Name	CYP6AE9
NM_001279498.1	2.898235	0.385764	9.970764	11.582939	3.298691	1.999971	5.022727333333333	11.582939	NC_085128.1	16422391	16424733	+	rna-NM_001279498.1	NM_001279498.1	NM_001279498.1	CYP6AN2	cytochrome P450 6B7-like	mRNA	ID=rna-NM_001279498.1;Parent=gene-CYP6AN2;Dbxref=GeneID:101743305,GenBank:NM_001279498.1;Name=NM_001279498.1;gbkey=mRNA;gene=CYP6AN2;product=cytochrome P450 6B7-like;transcript_id=NM_001279498.1	NM_001279498.1	Name	CYP6AN2
NM_001112751.2	4.804678	4.849542	5.544414	4.497336	3.352366	3.65849	4.451137666666667	5.544414	NC_085116.1	10401872	10409287	+	rna-NM_001112751.2	NM_001112751.2	NM_001112751.2	Cyp306a1	cytochrome P450 monooxygenase	mRNA	ID=rna-NM_001112751.2;Parent=gene-Cyp306a1;Dbxref=GeneID:100127116,GenBank:NM_001112751.2;Name=NM_001112751.2;Note=The RefSeq transcript has 2 substitutions%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp306a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112751.2;product=cytochrome P450 monooxygenase;transcript_id=NM_001112751.2	NM_001112751.2	Name	CYP306A1
NM_001281896.1	3.518933	5.228003	2.367711	3.577827	1.855281	7.606709	4.025744	7.606709	NC_085132.1	11351641	11382052	-	rna-NM_001281896.1	NM_001281896.1	NM_001281896.1	CYP340C1	cytochrome P450 4C1-like	mRNA	ID=rna-NM_001281896.1;Parent=gene-CYP340C1;Dbxref=GeneID:101742493,GenBank:NM_001281896.1;Name=NM_001281896.1;gbkey=mRNA;gene=CYP340C1;product=cytochrome P450 4C1-like;transcript_id=NM_001281896.1	NM_001281896.1	Name	CYP340C1
NM_001083610.1	2.022477	1.344008	2.208138	5.600209	9.447135	2.258332	3.813383166666666	9.447135	NC_085123.1	16001075	16013164	-	rna-NM_001083610.1	NM_001083610.1	NM_001083610.1	Cyp9a20	cytochrome P450 9a20	mRNA	ID=rna-NM_001083610.1;Parent=gene-Cyp9a20;Dbxref=GeneID:100036579,GenBank:NM_001083610.1;Name=NM_001083610.1;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp9a20;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001083610.1;product=cytochrome P450 9a20;transcript_id=NM_001083610.1	NM_001083610.1	Name	CYP9A20
NM_001079667.1	6.109186	2.672987	3.751703	7.702711	0.253891	2.112947	3.7672375	7.702711	NC_085127.1	544572	546613	+	rna-NM_001079667.1	NM_001079667.1	NM_001079667.1	Cyp6ab4	cytochrome P450 6AB4	mRNA	ID=rna-NM_001079667.1;Parent=gene-Cyp6ab4;Dbxref=GeneID:780858,GenBank:NM_001079667.1;Name=NM_001079667.1;Note=The RefSeq transcript has 2 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ab4;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001079667.1;product=cytochrome P450 6AB4;transcript_id=NM_001079667.1	NM_001079667.1	Name	CYP6AB4
XM_012690569.4	2.423779	0.732261	2.045836	6.038713	6.058974	2.188941	3.248084	6.058974	NC_085123.1	16035294	16047429	-	rna-XM_012690569.4	XM_012690569.4	XM_012690569.4	Cyp9a21	cytochrome P450 CYP9A21, transcript variant X3	mRNA	ID=rna-XM_012690569.4;Parent=gene-Cyp9a21;Dbxref=GeneID:100126160,GenBank:XM_012690569.4;Name=XM_012690569.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp9a21;model_evidence=Supporting evidence includes similarity to: 8 mRNAs%2C 33 ESTs%2C 269 Proteins%2C 1212 long SRA reads;product=cytochrome P450 CYP9A21%2C transcript variant X3;transcript_id=XM_012690569.4	XM_012690569.4	Name	CYP9A21
NM_001279366.1	3.703377	1.690963	2.84866	3.713376	2.953455	2.626817	2.9227746666666667	3.713376	NC_085114.1	9335928	9350035	-	rna-NM_001279366.1	NM_001279366.1	NM_001279366.1	CYP354A1	cytochrome P450 9e2-like	mRNA	ID=rna-NM_001279366.1;Parent=gene-CYP354A1;Dbxref=GeneID:101745924,GenBank:NM_001279366.1;Name=NM_001279366.1;Note=The RefSeq transcript has 41 substitutions%2C 5 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=CYP354A1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001279366.1;product=cytochrome P450 9e2-like;transcript_id=NM_001279366.1	NM_001279366.1	Name	CYP354A1
XM_062669538.1	5.154315	2.186576	3.521864	3.419156	0.801177	1.689073	2.7953601666666668	5.154315	NC_085114.1	9335928	9348272	-	rna-XM_062669538.1	XM_062669538.1	XM_062669538.1	CYP354A1	cytochrome P450 9e2-like, transcript variant X1	mRNA	ID=rna-XM_062669538.1;Parent=gene-CYP354A1;Dbxref=GeneID:101745924,GenBank:XM_062669538.1;Name=XM_062669538.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=CYP354A1;model_evidence=Supporting evidence includes similarity to: 67 Proteins%2C 322 long SRA reads;product=cytochrome P450 9e2-like%2C transcript variant X1;transcript_id=XM_062669538.1	XM_062669538.1	Name	CYP354A1
XM_021351855.2	2.180982	1.400426	3.854971	2.602509	2.209799	2.270263	2.419825	3.854971	NC_085114.1	10695389	10713937	+	rna-XM_021351855.2	XM_021351855.2	XM_021351855.2	Cyp315a1	cytochrome P450, transcript variant X4	mRNA	ID=rna-XM_021351855.2;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XM_021351855.2;Name=XM_021351855.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 14 ESTs%2C 60 Proteins%2C 323 long SRA reads;product=cytochrome P450%2C transcript variant X4;transcript_id=XM_021351855.2	XM_021351855.2	Name	CYP315A1
NM_001279490.1	5.023572	0.304722	4.591297	1.977553	0.543517	1.008665	2.2415543333333336	5.023572	NC_085114.1	3705773	3738435	-	rna-NM_001279490.1	NM_001279490.1	NM_001279490.1	LOC101736880	probable cytochrome P450 49a1-like	mRNA	ID=rna-NM_001279490.1;Parent=gene-LOC101736880;Dbxref=GeneID:101736880,GenBank:NM_001279490.1;Name=NM_001279490.1;gbkey=mRNA;gene=LOC101736880;product=probable cytochrome P450 49a1-like;transcript_id=NM_001279490.1	NM_001279490.1	Name	CYP49A1-LIKE
XM_012689784.4	2.213834	1.824813	2.359781	3.769522	0.575464	2.666006	2.234903333333333	3.769522	NC_085127.1	570645	573089	+	rna-XM_012689784.4	XM_012689784.4	XM_012689784.4	LOC101745954	cytochrome P450 6B2	mRNA	ID=rna-XM_012689784.4;Parent=gene-LOC101745954;Dbxref=GeneID:101745954,GenBank:XM_012689784.4;Name=XM_012689784.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101745954;model_evidence=Supporting evidence includes similarity to: 119 Proteins%2C 1359 long SRA reads;product=cytochrome P450 6B2;transcript_id=XM_012689784.4	XM_012689784.4	Name	CYP6B2
XM_021353186.3	3.559492	2.022664	2.034132	2.226543	1.231947	1.377956	2.075455666666666	3.559492	NC_085120.1	2887100	2927678	+	rna-XM_021353186.3	XM_021353186.3	XM_021353186.3	LOC101737332	probable cytochrome P450 301a1, mitochondrial	mRNA	ID=rna-XM_021353186.3;Parent=gene-LOC101737332;Dbxref=GeneID:101737332,GenBank:XM_021353186.3;Name=XM_021353186.3;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101737332;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 1 EST%2C 40 Proteins%2C 18 long SRA reads;product=probable cytochrome P450 301a1%2C mitochondrial;transcript_id=XM_021353186.3	XM_021353186.3	Name	CYP301A1
XM_012689198.4	0.0	2.031592	2.77696	1.622975	1.725287	2.502361	1.776529166666667	2.77696	NC_085116.1	8009579	8024108	-	rna-XM_012689198.4	XM_012689198.4	XM_012689198.4	Cpr	NADPH cytochrome P450 reductase, transcript variant X1	mRNA	ID=rna-XM_012689198.4;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:XM_012689198.4;Name=XM_012689198.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cpr;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 7 Proteins%2C 1351 long SRA reads;product=NADPH cytochrome P450 reductase%2C transcript variant X1;transcript_id=XM_012689198.4	XM_012689198.4	Name	
XM_004928048.5	2.669235	1.509792	1.863821	3.203866	0.974952	0.384551	1.7677028333333331	3.203866	NC_085119.1	4507480	4521715	-	rna-XM_004928048.5	XM_004928048.5	XM_004928048.5	LOC101742941	cytochrome P450 CYP12A2, transcript variant X1	mRNA	ID=rna-XM_004928048.5;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_004928048.5;Name=XM_004928048.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 631 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X1;transcript_id=XM_004928048.5	XM_004928048.5	Name	CYP12A2
NM_001309591.1	2.749397	1.388536	1.790958	1.366993	0.681299	1.111114	1.5147161666666669	2.749397	NC_085116.1	7221684	7223425	+	rna-NM_001309591.1	NM_001309591.1	NM_001309591.1	LOC100127130	cytochrome P450	mRNA	ID=rna-NM_001309591.1;Parent=gene-LOC100127130;Dbxref=GeneID:100127130,GenBank:NM_001309591.1;Name=NM_001309591.1;Note=The RefSeq transcript has 5 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=LOC100127130;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001309591.1;product=cytochrome P450;transcript_id=NM_001309591.1	NM_001309591.1	Name	
XM_038015060.2	0.128721	1.341147	1.719175	0.0	3.572768	1.499134	1.3768241666666663	3.572768	NC_085119.1	4507480	4520933	-	rna-XM_038015060.2	XM_038015060.2	XM_038015060.2	LOC101742941	cytochrome P450 CYP12A2, transcript variant X2	mRNA	ID=rna-XM_038015060.2;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_038015060.2;Name=XM_038015060.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 574 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X2;transcript_id=XM_038015060.2	XM_038015060.2	Name	CYP12A2
XM_012695536.4	1.389273	2.48894	0.0	2.511576	1.110605	0.540218	1.340102	2.511576	NC_085114.1	8579562	8585730	-	rna-XM_012695536.4	XM_012695536.4	XM_012695536.4	LOC101736730	cytochrome P450 CYP12A2, transcript variant X2	mRNA	ID=rna-XM_012695536.4;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_012695536.4;Name=XM_012695536.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C 243 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X2;transcript_id=XM_012695536.4	XM_012695536.4	Name	CYP12A2
XM_062669729.1	2.465381	1.060578	0.992503	1.70042	0.892113	0.577191	1.281364333333333	2.465381	NC_085114.1	8579562	8585877	-	rna-XM_062669729.1	XM_062669729.1	XM_062669729.1	LOC101736730	cytochrome P450 CYP12A2, transcript variant X4	mRNA	ID=rna-XM_062669729.1;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_062669729.1;Name=XM_062669729.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 9 Proteins%2C 44 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X4;transcript_id=XM_062669729.1	XM_062669729.1	Name	CYP12A2
XM_062673182.1	0.269518	1.398193	0.915236	0.0	4.752852	0.0	1.2226331666666663	4.752852	NC_085123.1	16035294	16045875	-	rna-XM_062673182.1	XM_062673182.1	XM_062673182.1	Cyp9a21	cytochrome P450 CYP9A21, transcript variant X4	mRNA	ID=rna-XM_062673182.1;Parent=gene-Cyp9a21;Dbxref=GeneID:100126160,GenBank:XM_062673182.1;Name=XM_062673182.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp9a21;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 2 ESTs%2C 269 Proteins%2C 581 long SRA reads;product=cytochrome P450 CYP9A21%2C transcript variant X4;transcript_id=XM_062673182.1	XM_062673182.1	Name	CYP9A21
XM_062670286.1	4.754164	0.0	0.0	2.1227	0.0	0.0	1.146144	4.754164	NC_085116.1	8009579	8024093	-	rna-XM_062670286.1	XM_062670286.1	XM_062670286.1	Cpr	NADPH cytochrome P450 reductase, transcript variant X2	mRNA	ID=rna-XM_062670286.1;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:XM_062670286.1;Name=XM_062670286.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cpr;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 7 Proteins%2C 1308 long SRA reads;product=NADPH cytochrome P450 reductase%2C transcript variant X2;transcript_id=XM_062670286.1	XM_062670286.1	Name	
XM_062672840.1	0.0	0.912984	1.405489	1.9252	0.649311	1.638306	1.0885483333333337	1.9252	NC_085122.1	9471009	9494376	-	rna-XM_062672840.1	XM_062672840.1	XM_062672840.1	CYP367A1	cytochrome P450 4V2-like, transcript variant X1	mRNA	ID=rna-XM_062672840.1;Parent=gene-CYP367A1;Dbxref=GeneID:101741325,GenBank:XM_062672840.1;Name=XM_062672840.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=CYP367A1;model_evidence=Supporting evidence includes similarity to: 29 Proteins%2C 551 long SRA reads;product=cytochrome P450 4V2-like%2C transcript variant X1;transcript_id=XM_062672840.1	XM_062672840.1	Name	CYP367A1
NM_001112753.1	1.342109	0.821461	1.869102	1.722225	0.217406	0.196537	1.02814	1.869102	NC_085114.1	10695017	10713713	+	rna-NM_001112753.1	NM_001112753.1	NM_001112753.1	Cyp315a1	cytochrome P450	mRNA	ID=rna-NM_001112753.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:NM_001112753.1;Name=NM_001112753.1;Note=The RefSeq transcript has 4 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp315a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112753.1;product=cytochrome P450;transcript_id=NM_001112753.1	NM_001112753.1	Name	CYP315A1
NM_001083611.1	0.393601	0.50283	1.294872	1.910206	0.424416	1.513202	1.0065211666666667	1.910206	NC_085122.1	12750088	12752537	-	rna-NM_001083611.1	NM_001083611.1	NM_001083611.1	Cyp6ae2	cytochrome P450 6ae2	mRNA	ID=rna-NM_001083611.1;Parent=gene-Cyp6ae2;Dbxref=GeneID:100036580,GenBank:NM_001083611.1;Name=NM_001083611.1;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ae2;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001083611.1;product=cytochrome P450 6ae2;transcript_id=NM_001083611.1	NM_001083611.1	Name	CYP6AE2
NM_001111364.1	2.678381	0.244108	0.833955	1.475566	0.134138	0.385022	0.9585283333333332	2.678381	NC_085116.1	8009581	8040136	-	rna-NM_001111364.1	NM_001111364.1	NM_001111364.1	Cpr	NADPH cytochrome P450 reductase	mRNA	ID=rna-NM_001111364.1;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:NM_001111364.1;Name=NM_001111364.1;Note=The RefSeq transcript has 9 substitutions%2C 22 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cpr;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111364.1;product=NADPH cytochrome P450 reductase;transcript_id=NM_001111364.1	NM_001111364.1	Name	
NM_001111356.1	1.422296	0.626032	0.799621	1.873417	0.29254	0.387327	0.9002055000000001	1.873417	NC_085127.1	10355834	10360951	+	rna-NM_001111356.1	NM_001111356.1	NM_001111356.1	Cyp6au1	cytochrome P450 Cyp6AU1	mRNA	ID=rna-NM_001111356.1;Parent=gene-Cyp6au1;Dbxref=GeneID:100127026,GenBank:NM_001111356.1;Name=NM_001111356.1;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6au1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111356.1;product=cytochrome P450 Cyp6AU1;transcript_id=NM_001111356.1	NM_001111356.1	Name	CYP6AU1
XM_062676238.1	0.625154	1.229927	0.46648	0.775576	0.221983	1.942107	0.8768711666666666	1.942107	NC_085132.1	11350260	11377982	-	rna-XM_062676238.1	XM_062676238.1	XM_062676238.1	CYP340C1	cytochrome P450 4C1-like, transcript variant X1	mRNA	ID=rna-XM_062676238.1;Parent=gene-CYP340C1;Dbxref=GeneID:101742493,GenBank:XM_062676238.1;Name=XM_062676238.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=CYP340C1;model_evidence=Supporting evidence includes similarity to: 11 Proteins%2C 178 long SRA reads;product=cytochrome P450 4C1-like%2C transcript variant X1;transcript_id=XM_062676238.1	XM_062676238.1	Name	CYP340C1
NM_001110363.1	0.92142	0.937665	1.190973	0.785261	0.488821	0.72979	0.8423216666666667	1.190973	NC_085111.1	11927547	11939846	-	rna-NM_001110363.1	NM_001110363.1	NM_001110363.1	Cyp4m5	cytochrome P450 monooxygenase Cyp4M5	mRNA	ID=rna-NM_001110363.1;Parent=gene-Cyp4m5;Dbxref=GeneID:100126560,GenBank:NM_001110363.1;Name=NM_001110363.1;Note=The RefSeq transcript has 2 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp4m5;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110363.1;product=cytochrome P450 monooxygenase Cyp4M5;transcript_id=NM_001110363.1	NM_001110363.1	Name	CYP4M5
NM_001112752.1	0.343475	0.429867	0.515598	0.689309	1.331921	0.883394	0.6989273333333333	1.331921	NC_085119.1	10749376	10760868	-	rna-NM_001112752.1	NM_001112752.1	NM_001112752.1	Cyp4g25	cytochrome P450 CYP4G25	mRNA	ID=rna-NM_001112752.1;Parent=gene-Cyp4g25;Dbxref=GeneID:100127117,GenBank:NM_001112752.1;Name=NM_001112752.1;Note=The RefSeq transcript has 1 substitution and aligns at 98%25 coverage compared to this genomic sequence;end_range=10760868,.;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp4g25;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112752.1;partial=true;product=cytochrome P450 CYP4G25;transcript_id=NM_001112752.1	NM_001112752.1	Name	CYP4G25
