seqid	start	end	strand	ID	Name	transcript_id	gene	product	gbkey	raw_attr
NC_085111.1	11910795	11925723	-	rna-NM_001079666.1	NM_001079666.1	NM_001079666.1	Cyp4m9	cytochrome P450 CYP4M9	mRNA	ID=rna-NM_001079666.1;Parent=gene-Cyp4m9;Dbxref=GeneID:780857,GenBank:NM_001079666.1;Name=NM_001079666.1;Note=The RefSeq transcript has 4 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp4m9;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001079666.1;product=cytochrome P450 CYP4M9;transcript_id=NM_001079666.1
NC_085111.1	11927547	11939846	-	rna-NM_001110363.1	NM_001110363.1	NM_001110363.1	Cyp4m5	cytochrome P450 monooxygenase Cyp4M5	mRNA	ID=rna-NM_001110363.1;Parent=gene-Cyp4m5;Dbxref=GeneID:100126560,GenBank:NM_001110363.1;Name=NM_001110363.1;Note=The RefSeq transcript has 2 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp4m5;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110363.1;product=cytochrome P450 monooxygenase Cyp4M5;transcript_id=NM_001110363.1
NC_085113.1	6974518	7021513	+	rna-NM_001112748.1	NM_001112748.1	NM_001112748.1	Cyp314a1	ecdysone 20-hydroxylase	mRNA	ID=rna-NM_001112748.1;Parent=gene-Cyp314a1;Dbxref=GeneID:100127102,GenBank:NM_001112748.1;Name=NM_001112748.1;Note=The RefSeq transcript has 13 substitutions%2C 1 non-frameshifting indel compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp314a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112748.1;product=ecdysone 20-hydroxylase;transcript_id=NM_001112748.1
NC_085113.1	7005688	7021116	+	rna-XM_062669251.1	XM_062669251.1	XM_062669251.1	Cyp314a1	ecdysone 20-hydroxylase, transcript variant X1	mRNA	ID=rna-XM_062669251.1;Parent=gene-Cyp314a1;Dbxref=GeneID:100127102,GenBank:XM_062669251.1;Name=XM_062669251.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp314a1;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 36 Proteins%2C 96 long SRA reads;product=ecdysone 20-hydroxylase%2C transcript variant X1;transcript_id=XM_062669251.1
NC_085114.1	3705773	3738443	-	rna-XM_038012242.2	XM_038012242.2	XM_038012242.2	LOC101736880	probable cytochrome P450 49a1-like, transcript variant X1	mRNA	ID=rna-XM_038012242.2;Parent=gene-LOC101736880;Dbxref=GeneID:101736880,GenBank:XM_038012242.2;Name=XM_038012242.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736880;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 2 ESTs%2C 2 Proteins%2C 355 long SRA reads;product=probable cytochrome P450 49a1-like%2C transcript variant X1;transcript_id=XM_038012242.2
NC_085114.1	3705773	3738435	-	rna-NM_001279490.1	NM_001279490.1	NM_001279490.1	LOC101736880	probable cytochrome P450 49a1-like	mRNA	ID=rna-NM_001279490.1;Parent=gene-LOC101736880;Dbxref=GeneID:101736880,GenBank:NM_001279490.1;Name=NM_001279490.1;gbkey=mRNA;gene=LOC101736880;product=probable cytochrome P450 49a1-like;transcript_id=NM_001279490.1
NC_085114.1	8579562	8586020	-	rna-XM_004932069.5	XM_004932069.5	XM_004932069.5	LOC101736730	cytochrome P450 CYP12A2, transcript variant X1	mRNA	ID=rna-XM_004932069.5;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_004932069.5;Name=XM_004932069.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 1 EST%2C 30 Proteins%2C 399 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X1;transcript_id=XM_004932069.5
NC_085114.1	8579562	8585877	-	rna-XM_062669729.1	XM_062669729.1	XM_062669729.1	LOC101736730	cytochrome P450 CYP12A2, transcript variant X4	mRNA	ID=rna-XM_062669729.1;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_062669729.1;Name=XM_062669729.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 9 Proteins%2C 44 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X4;transcript_id=XM_062669729.1
NC_085114.1	8579562	8585730	-	rna-XM_012695536.4	XM_012695536.4	XM_012695536.4	LOC101736730	cytochrome P450 CYP12A2, transcript variant X2	mRNA	ID=rna-XM_012695536.4;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_012695536.4;Name=XM_012695536.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C 243 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X2;transcript_id=XM_012695536.4
NC_085114.1	8579562	8585650	-	rna-XM_012695537.4	XM_012695537.4	XM_012695537.4	LOC101736730	cytochrome P450 CYP12A2, transcript variant X3	mRNA	ID=rna-XM_012695537.4;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_012695537.4;Name=XM_012695537.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 14 Proteins%2C 210 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X3;transcript_id=XM_012695537.4
NC_085114.1	8580747	8585877	-	rna-XM_038012512.2	XM_038012512.2	XM_038012512.2	LOC101736730	cytochrome P450 CYP12A2, transcript variant X5	mRNA	ID=rna-XM_038012512.2;Parent=gene-LOC101736730;Dbxref=GeneID:101736730,GenBank:XM_038012512.2;Name=XM_038012512.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101736730;model_evidence=Supporting evidence includes similarity to: 9 Proteins%2C 14 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X5;transcript_id=XM_038012512.2
NC_085114.1	9335928	9350035	-	rna-NM_001279366.1	NM_001279366.1	NM_001279366.1	CYP354A1	cytochrome P450 9e2-like	mRNA	ID=rna-NM_001279366.1;Parent=gene-CYP354A1;Dbxref=GeneID:101745924,GenBank:NM_001279366.1;Name=NM_001279366.1;Note=The RefSeq transcript has 41 substitutions%2C 5 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=CYP354A1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001279366.1;product=cytochrome P450 9e2-like;transcript_id=NM_001279366.1
NC_085114.1	9335928	9348272	-	rna-XM_062669538.1	XM_062669538.1	XM_062669538.1	CYP354A1	cytochrome P450 9e2-like, transcript variant X1	mRNA	ID=rna-XM_062669538.1;Parent=gene-CYP354A1;Dbxref=GeneID:101745924,GenBank:XM_062669538.1;Name=XM_062669538.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=CYP354A1;model_evidence=Supporting evidence includes similarity to: 67 Proteins%2C 322 long SRA reads;product=cytochrome P450 9e2-like%2C transcript variant X1;transcript_id=XM_062669538.1
NC_085114.1	10705719	10712805	+	rna-XR_009973578.1	XR_009973578.1	XR_009973578.1	Cyp315a1	cytochrome P450, transcript variant X1	misc_RNA	ID=rna-XR_009973578.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XR_009973578.1;Name=XR_009973578.1;gbkey=misc_RNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 1 long SRA read;product=cytochrome P450%2C transcript variant X1;transcript_id=XR_009973578.1
NC_085114.1	10705719	10712801	+	rna-XR_009973579.1	XR_009973579.1	XR_009973579.1	Cyp315a1	cytochrome P450, transcript variant X2	misc_RNA	ID=rna-XR_009973579.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XR_009973579.1;Name=XR_009973579.1;gbkey=misc_RNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 1 long SRA read;product=cytochrome P450%2C transcript variant X2;transcript_id=XR_009973579.1
NC_085114.1	10705719	10712791	+	rna-XR_009973580.1	XR_009973580.1	XR_009973580.1	Cyp315a1	cytochrome P450, transcript variant X3	misc_RNA	ID=rna-XR_009973580.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XR_009973580.1;Name=XR_009973580.1;gbkey=misc_RNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 1 long SRA read;product=cytochrome P450%2C transcript variant X3;transcript_id=XR_009973580.1
NC_085114.1	10695017	10713713	+	rna-NM_001112753.1	NM_001112753.1	NM_001112753.1	Cyp315a1	cytochrome P450	mRNA	ID=rna-NM_001112753.1;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:NM_001112753.1;Name=NM_001112753.1;Note=The RefSeq transcript has 4 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp315a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112753.1;product=cytochrome P450;transcript_id=NM_001112753.1
NC_085114.1	10695389	10713937	+	rna-XM_021351855.2	XM_021351855.2	XM_021351855.2	Cyp315a1	cytochrome P450, transcript variant X4	mRNA	ID=rna-XM_021351855.2;Parent=gene-Cyp315a1;Dbxref=GeneID:100127120,GenBank:XM_021351855.2;Name=XM_021351855.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp315a1;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 14 ESTs%2C 60 Proteins%2C 323 long SRA reads;product=cytochrome P450%2C transcript variant X4;transcript_id=XM_021351855.2
NC_085116.1	2579419	2587320	+	rna-XM_038013450.2	XM_038013450.2	XM_038013450.2	LOC134198643	cytochrome P450 6B2-like	mRNA	ID=rna-XM_038013450.2;Parent=gene-LOC134198643;Dbxref=GeneID:134198643,GenBank:XM_038013450.2;Name=XM_038013450.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC134198643;model_evidence=Supporting evidence includes similarity to: 40 Proteins%2C 524 long SRA reads;product=cytochrome P450 6B2-like;transcript_id=XM_038013450.2
NC_085116.1	7221684	7223425	+	rna-NM_001309591.1	NM_001309591.1	NM_001309591.1	LOC100127130	cytochrome P450	mRNA	ID=rna-NM_001309591.1;Parent=gene-LOC100127130;Dbxref=GeneID:100127130,GenBank:NM_001309591.1;Name=NM_001309591.1;Note=The RefSeq transcript has 5 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=LOC100127130;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001309591.1;product=cytochrome P450;transcript_id=NM_001309591.1
NC_085116.1	8009579	8024108	-	rna-XM_012689198.4	XM_012689198.4	XM_012689198.4	Cpr	NADPH cytochrome P450 reductase, transcript variant X1	mRNA	ID=rna-XM_012689198.4;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:XM_012689198.4;Name=XM_012689198.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cpr;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 7 Proteins%2C 1351 long SRA reads;product=NADPH cytochrome P450 reductase%2C transcript variant X1;transcript_id=XM_012689198.4
NC_085116.1	8009579	8024093	-	rna-XM_062670286.1	XM_062670286.1	XM_062670286.1	Cpr	NADPH cytochrome P450 reductase, transcript variant X2	mRNA	ID=rna-XM_062670286.1;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:XM_062670286.1;Name=XM_062670286.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cpr;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 7 Proteins%2C 1308 long SRA reads;product=NADPH cytochrome P450 reductase%2C transcript variant X2;transcript_id=XM_062670286.1
NC_085116.1	8009581	8040136	-	rna-NM_001111364.1	NM_001111364.1	NM_001111364.1	Cpr	NADPH cytochrome P450 reductase	mRNA	ID=rna-NM_001111364.1;Parent=gene-Cpr;Dbxref=GeneID:100127056,GenBank:NM_001111364.1;Name=NM_001111364.1;Note=The RefSeq transcript has 9 substitutions%2C 22 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cpr;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111364.1;product=NADPH cytochrome P450 reductase;transcript_id=NM_001111364.1
NC_085116.1	10401872	10409287	+	rna-NM_001112751.2	NM_001112751.2	NM_001112751.2	Cyp306a1	cytochrome P450 monooxygenase	mRNA	ID=rna-NM_001112751.2;Parent=gene-Cyp306a1;Dbxref=GeneID:100127116,GenBank:NM_001112751.2;Name=NM_001112751.2;Note=The RefSeq transcript has 2 substitutions%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp306a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112751.2;product=cytochrome P450 monooxygenase;transcript_id=NM_001112751.2
NC_085116.1	10410242	10412803	-	rna-NM_001083609.2	NM_001083609.2	NM_001083609.2	Cyp18a1	cytochrome P450 18a1	mRNA	ID=rna-NM_001083609.2;Parent=gene-Cyp18a1;Dbxref=GeneID:100036578,GenBank:NM_001083609.2;Name=NM_001083609.2;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp18a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001083609.2;product=cytochrome P450 18a1;transcript_id=NM_001083609.2
NC_085116.1	10472435	10489037	-	rna-XM_062670670.1	XM_062670670.1	XM_062670670.1	LOC101740852	cytochrome P450 18a1, transcript variant X2	mRNA	ID=rna-XM_062670670.1;Parent=gene-LOC101740852;Dbxref=GeneID:101740852,GenBank:XM_062670670.1;Name=XM_062670670.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101740852;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 3 ESTs%2C 8 Proteins%2C 84 long SRA reads;product=cytochrome P450 18a1%2C transcript variant X2;transcript_id=XM_062670670.1
NC_085116.1	10472435	10484175	-	rna-XM_021353472.3	XM_021353472.3	XM_021353472.3	LOC101740852	cytochrome P450 18a1, transcript variant X1	mRNA	ID=rna-XM_021353472.3;Parent=gene-LOC101740852;Dbxref=GeneID:101740852,GenBank:XM_021353472.3;Name=XM_021353472.3;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101740852;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 3 ESTs%2C 8 Proteins%2C 84 long SRA reads;product=cytochrome P450 18a1%2C transcript variant X1;transcript_id=XM_021353472.3
NC_085117.1	1331665	1342671	+	rna-NM_001111363.1	NM_001111363.1	NM_001111363.1	Cyp307a1	cytochrome P450	mRNA	ID=rna-NM_001111363.1;Parent=gene-Cyp307a1;Dbxref=GeneID:100127052,GenBank:NM_001111363.1;Name=NM_001111363.1;Note=The RefSeq transcript has 145 substitutions%2C 28 non-frameshifting indels and aligns at 79%25 coverage compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp307a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001111363.1;partial=true;product=cytochrome P450;start_range=.,1331665;transcript_id=NM_001111363.1
NC_085117.1	12664174	12678927	+	rna-XM_038013596.2	XM_038013596.2	XM_038013596.2	P450	cytochrome P450, transcript variant X1	mRNA	ID=rna-XM_038013596.2;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:XM_038013596.2;Name=XM_038013596.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=P450;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 4 ESTs%2C 61 Proteins%2C 117 long SRA reads;product=cytochrome P450%2C transcript variant X1;transcript_id=XM_038013596.2
NC_085117.1	12664877	12678923	+	rna-NM_001146725.1	NM_001146725.1	NM_001146725.1	P450	cytochrome P450	mRNA	ID=rna-NM_001146725.1;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:NM_001146725.1;Name=NM_001146725.1;Note=The RefSeq transcript has 35 substitutions%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=P450;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001146725.1;product=cytochrome P450;transcript_id=NM_001146725.1
NC_085117.1	12665038	12678927	+	rna-XM_062670805.1	XM_062670805.1	XM_062670805.1	P450	cytochrome P450, transcript variant X2	mRNA	ID=rna-XM_062670805.1;Parent=gene-P450;Dbxref=GeneID:100286798,GenBank:XM_062670805.1;Name=XM_062670805.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=P450;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 4 ESTs%2C 61 Proteins%2C 117 long SRA reads;product=cytochrome P450%2C transcript variant X2;transcript_id=XM_062670805.1
NC_085117.1	17992125	17996776	-	rna-NM_001110537.1	NM_001110537.1	NM_001110537.1	Cyp6ab5	cytochrome P450	mRNA	ID=rna-NM_001110537.1;Parent=gene-Cyp6ab5;Dbxref=GeneID:100126559,GenBank:NM_001110537.1;Name=NM_001110537.1;Note=The RefSeq transcript has 14 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ab5;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110537.1;product=cytochrome P450;transcript_id=NM_001110537.1
NC_085118.1	3827920	3833360	-	rna-NM_001282222.1	NM_001282222.1	NM_001282222.1	CYP338A1	cytochrome P450 6B2-like	mRNA	ID=rna-NM_001282222.1;Parent=gene-CYP338A1;Dbxref=GeneID:101736895,GenBank:NM_001282222.1;Name=NM_001282222.1;gbkey=mRNA;gene=CYP338A1;product=cytochrome P450 6B2-like;transcript_id=NM_001282222.1
NC_085118.1	8847953	8860210	-	rna-XM_062671298.1	XM_062671298.1	XM_062671298.1	Cyp6ae9	cytochrome P450 CYP6AE9, transcript variant X1	mRNA	ID=rna-XM_062671298.1;Parent=gene-Cyp6ae9;Dbxref=GeneID:100126548,GenBank:XM_062671298.1;Name=XM_062671298.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6ae9;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 84 Proteins%2C 299 long SRA reads;product=cytochrome P450 CYP6AE9%2C transcript variant X1;transcript_id=XM_062671298.1
NC_085118.1	8852957	8860165	-	rna-NM_001110534.1	NM_001110534.1	NM_001110534.1	Cyp6ae9	cytochrome P450 CYP6AE9	mRNA	ID=rna-NM_001110534.1;Parent=gene-Cyp6ae9;Dbxref=GeneID:100126548,GenBank:NM_001110534.1;Name=NM_001110534.1;Note=The RefSeq transcript has 3 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ae9;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110534.1;product=cytochrome P450 CYP6AE9;transcript_id=NM_001110534.1
NC_085119.1	4450209	4463253	+	rna-NM_001114871.1	NM_001114871.1	NM_001114871.1	Cyp4l6	cytochrome P450 CYP4L6	mRNA	ID=rna-NM_001114871.1;Parent=gene-Cyp4l6;Dbxref=GeneID:100141436,GenBank:NM_001114871.1;Name=NM_001114871.1;gbkey=mRNA;gene=Cyp4l6;product=cytochrome P450 CYP4L6;transcript_id=NM_001114871.1
NC_085119.1	4507480	4522476	-	rna-XM_038015061.2	XM_038015061.2	XM_038015061.2	LOC101742941	cytochrome P450 CYP12A2, transcript variant X3	mRNA	ID=rna-XM_038015061.2;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_038015061.2;Name=XM_038015061.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 584 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X3;transcript_id=XM_038015061.2
NC_085119.1	4507480	4521715	-	rna-XM_004928048.5	XM_004928048.5	XM_004928048.5	LOC101742941	cytochrome P450 CYP12A2, transcript variant X1	mRNA	ID=rna-XM_004928048.5;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_004928048.5;Name=XM_004928048.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 631 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X1;transcript_id=XM_004928048.5
NC_085119.1	4507480	4520933	-	rna-XM_038015060.2	XM_038015060.2	XM_038015060.2	LOC101742941	cytochrome P450 CYP12A2, transcript variant X2	mRNA	ID=rna-XM_038015060.2;Parent=gene-LOC101742941;Dbxref=GeneID:101742941,GenBank:XM_038015060.2;Name=XM_038015060.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742941;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 44 Proteins%2C 574 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X2;transcript_id=XM_038015060.2
