Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions
UGT	TRINITY_DN18424_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN20280_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN20280_c1_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN21024_c0_g1	review	no_family_defining_domain_in_current_core_table	no	PF13896	Glycosyl-transferase for dystroglycan
UGT	TRINITY_DN2328_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN2332_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN243_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN28473_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005013;PF03345	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit;Oligosaccharyltransferase 48 kDa subunit beta
UGT	TRINITY_DN3225_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003674;PF02516	Oligosaccharyl transferase STT3 subunit;Oligosaccharyl transferase, STT3 subunit
UGT	TRINITY_DN3269_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN37939_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN38523_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN39303_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN41259_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005828;PF00083	Major facilitator,  sugar transporter-like;Sugar (and other) transporter
UGT	TRINITY_DN5199_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN5252_c0_g3	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN566_c0_g2	review	no_family_defining_domain_in_current_core_table	no	IPR005828;PF00083	Major facilitator,  sugar transporter-like;Sugar (and other) transporter
UGT	TRINITY_DN60107_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN654_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN6816_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN7259_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR007676;PF04597	Ribophorin I
UGT	TRINITY_DN729_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003038;IPR012479;PF02109;PF07818	DAD family;DAD/Ost2;HCNGP-like protein;SAP30-binding protein
UGT	TRINITY_DN7973_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR021149;PF04756	OST3 / OST6 family, transporter family;Oligosaccharyl transferase complex, subunit OST3/OST6
UGT	TRINITY_DN8039_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003378;PF02434	Fringe-like
UGT	TRINITY_DN87_c1_g3	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN9587_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
