Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Archived_Dan_mean	Archived_Mul_mean	Archived_Delta_Mul_minus_Dan	Best_padj	RepresentativePeptide	PeptideLength	DomainClassification	DomainReason	Domains	DomainDescriptions	SecondPassRecommendation	SecondPassReason	ABCTriage	ABCTriageReason	ProfileHMMHit	NovelProfileHMMHit	ReferenceHit_E1e3	ReferenceHit_E1e5_Cov40	BestFamilyReference	BestFamilyReferenceEvalue	BestFamilyReferenceBitscore	BestFamilyReferenceIdentity	BestFamilyReferenceQcov	BestFamilyReferenceScov	SwissProtTopID	SwissProtTopTitle	SwissProtTopEvalue	SwissProtTopBitscore	SwissProtTopIdentity	SwissProtTopQcov	SwissProtTopScov	PROSITE_Pruned_Count	PROSITE_Full_Count	SimilarityComponent	SimilarityComponentSize
CarE	TRINITY_DN3016_c0_g1	yes	4	24.182643	23.102034	4.213123	56.771411	47.238597999999996	56.849317	15.573428519999998	53.2075852	37.63415668	0.00846467006094978	TRINITY_DN3016_c0_g1_i1.p1	587	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035435877.2	0.0	897.0	74.276	97.8333	100.342	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	4.64e-65	226.0	31.6	87.5	89.28571428571429	0	0	CarE_C001	20
CarE	TRINITY_DN5029_c0_g1	yes	2	0.114009	3.564317	0.159466	5.405727000000001	2.689457	1.137344	1.3473848	2.9239058	1.576521	0.987273471440539	TRINITY_DN5029_c0_g1_i1.p1	592	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035449631.1	0.0	660.0	60.846	92.0474	95.9436	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	8.09e-259	723.0	63.8	99.49238578680203	104.25531914893617	0	0	CarE_C001	20
CarE	TRINITY_DN5285_c0_g1	yes	1	41.630706	52.31971	35.33123	56.484621	51.264856	77.552592	35.8775612	51.6865738	15.809012599999996	0.999999010765626	TRINITY_DN5285_c0_g1_i1.p1	584	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035435407.2	0.0	977.0	79.074	92.393	100.0	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	5.19e-55	200.0	28.7	92.23454833597464	98.9795918367347	0	0	CarE_C001	20
CarE	TRINITY_DN552_c0_g1	yes	8	71.68526800000001	69.841554	103.22563299999999	59.20842	73.54925300000001	66.278902	68.74319684	54.679799100000004	-14.063397739999992	0.471962211878195	TRINITY_DN552_c0_g1_i15.p1	394	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035429431.2	0.0	561.0	69.543	100.254	71.2477	sp|Q8R0W5|EST4A_MOUSE	sp|Q8R0W5|EST4A_MOUSE Carboxylesterase 4A OS=Mus musculus OX=10090 GN=Ces4a PE=2 SV=2	1.05e-36	143.0	31.2	102.03562340966921	71.22557726465364	0	0	CarE_C001	20
CarE	TRINITY_DN58976_c0_g1	yes	1	0.028288	0.821056	0.986019	0.279525	0.114472	0.113989	0.5730416	0.15104716	-0.42199444	0.527776062262306	TRINITY_DN58976_c0_g1_i1.p1	583	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_050551513.1	0.0	573.0	50.517	99.6564	98.472	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	3.11e-171	500.0	46.6	96.90721649484536	100.0	0	0	CarE_C001	20
CarE	TRINITY_DN604_c0_g1	yes	10	583.451471	549.737877	1522.0172830000001	571.098655	1493.007143	795.135999	847.77526502	857.0172473999999	9.241982379999854	0.947152866091778	TRINITY_DN604_c0_g1_i10.p1	548	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035449450.2	0.0	711.0	63.187	99.8172	99.8172	sp|P35502|ESTF_MYZPE	sp|P35502|ESTF_MYZPE Esterase FE4 OS=Myzus persicae OX=13164 PE=1 SV=1	1.45e-48	180.0	31.4	93.23583180987202	90.42553191489361	0	0	CarE_C001	20
CarE	TRINITY_DN665_c0_g1	yes	17	33.449305	31.893776	31.835379	43.741825	56.578534	124.993016	27.86417512	68.70610167999999	40.84192655999999	0.194508412755047	TRINITY_DN665_c0_g1_i12.p1	584	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_050551626.1	0.0	833.0	74.388	91.0806	48.6264	sp|P07882|CEL_RAT	sp|P07882|CEL_RAT Bile salt-activated lipase OS=Rattus norvegicus OX=10116 GN=Cel PE=1 SV=2	5.66e-48	180.0	30.7	96.22641509433963	91.66666666666667	0	0	CarE_C001	20
CarE	TRINITY_DN69_c0_g1	yes	14	224.300983	271.85749300000003	389.68120999999996	144.332576	178.875345	202.276665	259.70235330599996	150.5581052	-109.14424810599996	0.272564221578895	TRINITY_DN69_c0_g1_i5.p1	584	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_050553603.1	0.0	773.0	69.55	95.1973	100.181	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	7.31e-57	203.0	32.0	89.02229845626071	92.02127659574468	0	0	CarE_C001	20
CarE	TRINITY_DN920_c0_g1	yes	9	180.352236	423.857169	334.737678	511.927886	453.930606	739.705277	282.9008706	530.4148098	247.51393919999992	0.937987759554221	TRINITY_DN920_c0_g1_i14.p1	620	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035430264.2	0.0	752.0	66.062	89.0145	98.0427	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	1.89e-48	181.0	30.1	87.39903069466882	95.92198581560284	0	0	CarE_C001	20
CarE	TRINITY_DN9322_c0_g2	yes	2	2.729488	4.091293	2.315495	4.268961999999999	3.431733	4.287108	2.5880625999999998	3.4381161999999996	0.8500535999999999	0.999999010765626	TRINITY_DN9322_c0_g2_i1.p1	543	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035444718.2	0.0	827.0	73.034	98.524	100.376	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	3.31e-81	268.0	37.0	94.28044280442805	86.9047619047619	0	0	CarE_C001	20
GST	TRINITY_DN114_c0_g1	no	8	114.21247100000001	112.606572	92.462179	122.290464	89.976414	98.779982	91.18381666	88.2858918	-2.8979248600000034	0.279596204925924	TRINITY_DN114_c0_g1_i11.p1	284	review	no_family_defining_domain_in_current_core_table	none	none	exclude_from_canonical_detox_GST	alternative protein family; no canonical cytosolic GST domain			True	False	True	True	Spodoptera|XP_035443791.1	0.0	579.0	97.88	100.0	100.0	sp|Q9VY78|CLIC_DROME	sp|Q9VY78|CLIC_DROME Chloride intracellular channel Clic OS=Drosophila melanogaster OX=7227 GN=Clic PE=1 SV=1	6.27e-152	427.0	80.4	95.75971731448763	104.23076923076923	1	13	GST_C003	1
GST	TRINITY_DN11666_c0_g1	no	2	59.648394	89.562112	48.077693	84.47549199999999	67.26394499999999	101.707523	56.10678420000001	70.4296784	14.322894199999993	0.999999010765626	TRINITY_DN11666_c0_g1_i2.p1	334	provisional_HQ_domain	family_defining_domain_detected	IPR004045;PF13410;PF13417	Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050563972.1	0.0	612.0	86.186	100.0	100.0	sp|Q8TB36|GDAP1_HUMAN	sp|Q8TB36|GDAP1_HUMAN Ganglioside-induced differentiation-associated protein 1 OS=Homo sapiens OX=9606 GN=GDAP1 PE=1 SV=3	1.1e-38	143.0	34.9	81.68168168168168	75.97765363128492	0	0	GST_C004	1
GST	TRINITY_DN12434_c0_g2	no	2	5.977098	2.064915	10.395011	28.474612	16.79658	4.125835	5.8458008	15.4357622	9.5899614	0.999999010765626	TRINITY_DN12434_c0_g2_i1.p1	217	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050557506.1	1.89e-112	320.0	66.204	100.0	49.8845	sp|P46430|GSTT1_MANSE	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1	2.15e-50	166.0	43.5	95.83333333333333	95.39170506912443	0	0	GST_C001	8
GST	TRINITY_DN1310_c0_g1	yes	10	134.150128	919.627843	82.06249199999999	452.23861	393.466949	75.406751	379.75887384	298.16707497000004	-81.59179886999993	0.00531618031657553	TRINITY_DN1310_c0_g1_i1.p1	228	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050559253.1	1.46e-129	357.0	72.444	99.1189	100.897	sp|P28338|GSTT1_MUSDO	sp|P28338|GSTT1_MUSDO Glutathione S-transferase 1 OS=Musca domestica OX=7370 GN=Gst1 PE=1 SV=1	2.44e-28	109.0	33.2	83.70044052863436	91.34615384615384	0	0	GST_C001	8
GST	TRINITY_DN1343_c0_g1	no	14	2.666962	4.029513	2.771708	3.9239059999999997	3.190048	2.836938	2.87803732	3.16221446	0.28417714000000016	8.71075562497241e-05	TRINITY_DN1343_c0_g1_i14.p1	826	review	no_family_defining_domain_in_current_core_table	IPR003029;IPR004210;IPR006578;IPR018974;IPR032639;IPR041692;PF00575;PF02944;PF09371;PF10545;PF12836;PF16921;PF17674	Alcohol dehydrogenase transcription factor Myb/SANT-like;BESS motif;HHH domain;HHH domain 9;Helix-hairpin-helix motif;MADF domain;S1 RNA binding domain;S1 domain;Tex protein YqgF-like domain;Tex protein, YqgF-like domain;Tex-like protein N-terminal domain;Tex-like protein, N-terminal	exclude_from_canonical_detox_GST	alternative protein family; no canonical cytosolic GST domain			True	False	True	True	Spodoptera|XP_050558941.1	0.0	1303.0	78.571	100.121	100.609	sp|Q8N5C6|SRBD1_HUMAN	sp|Q8N5C6|SRBD1_HUMAN S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2	1.1e-132	423.0	35.1	97.33333333333333	80.7035175879397	0	0	GST_C005	1
GST	TRINITY_DN13779_c0_g1	yes	6	57.275219	85.028175	25.285469	76.546104	95.628602	69.264709	49.59060718	71.02730236400001	21.43669518400001	0.999999010765626	TRINITY_DN13779_c0_g1_i1.p1	220	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_035440580.2	1.95e-128	353.0	78.281	100.913	100.0	sp|P42860|GSTT1_LUCCU	sp|P42860|GSTT1_LUCCU Glutathione S-transferase 1-1 OS=Lucilia cuprina OX=7375 GN=GST1 PE=1 SV=2	1.38e-82	247.0	57.9	92.23744292237443	97.11538461538461	0	0	GST_C001	8
GST	TRINITY_DN1407_c0_g1	no	1	4.171001	236.423008	42.383383	302.843043	170.720751	34.364763	95.7970384	157.3697114	61.572672999999995	0.999999010765626	TRINITY_DN1407_c0_g1_i1.p1	207	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050562835.1	5.79e-63	202.0	75.385	63.1068	6.85654	sp|O18598|GST1_BLAGE	sp|O18598|GST1_BLAGE Glutathione S-transferase OS=Blattella germanica OX=6973 PE=1 SV=3	1.27e-43	147.0	37.6	98.05825242718447	99.01960784313725	0	0	GST_C002	4
GST	TRINITY_DN1430_c2_g2	no	1	75.483824	96.2216	65.533336	121.314948	110.519987	110.809122	65.82043200000001	92.3762174	26.55578539999999	0.999999010765626	TRINITY_DN1430_c2_g2_i1.p1	150	review	no_family_defining_domain_in_current_core_table	IPR013766;PF00085	Thioredoxin;Thioredoxin domain	exclude_from_canonical_detox_GST	alternative protein family; no canonical cytosolic GST domain			True	False	True	True	Spodoptera|XP_035445331.2	1.1e-91	254.0	84.667	100.671	100.671	sp|P97615|THIOM_RAT	sp|P97615|THIOM_RAT Thioredoxin, mitochondrial OS=Rattus norvegicus OX=10116 GN=Txn2 PE=2 SV=1	7.12e-38	129.0	50.9	75.16778523489933	67.46987951807229	0	0	GST_C006	1
GST	TRINITY_DN163_c3_g1	yes	1	1.267673	3.911892	0.263767	3.886035	3.155135	3.318809	1.7592963999999998	2.8252981999999998	1.0660018	0.999999010765626	TRINITY_DN163_c3_g1_i1.p1	218	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050557548.1	9.36e-110	306.0	64.977	100.0	100.0	sp|P46430|GSTT1_MANSE	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1	7.54e-54	174.0	42.7	98.15668202764977	98.15668202764977	0	0	GST_C001	8
GST	TRINITY_DN1682_c0_g2	no	2	34.596573	52.163227000000006	4.623584	32.359995	39.067121	20.001053	28.3075288	26.024825799999995	-2.282703000000005	0.973267361652975	TRINITY_DN1682_c0_g2_i2.p1	247	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF00043;PF02798	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050558885.1	2.7e-119	340.0	71.171	90.2439	49.3333	sp|P46430|GSTT1_MANSE	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1	2.92e-38	135.0	38.6	84.14634146341463	95.39170506912443	0	0	GST_C001	8
GST	TRINITY_DN18158_c2_g1	yes	1	0.0	0.834769	0.279039	0.092438	0.697079	0.0	0.3664108	0.27236380000000004	-0.09404699999999994	0.999999010765626	TRINITY_DN18158_c2_g1_i1.p1	114	provisional_HQ_domain	family_defining_domain_detected	IPR004046;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain					True	False	True	True	Spodoptera|XP_050559253.1	2.54e-59	174.0	72.807	100.0	51.1211								0	0	GST_C001	8
GST	TRINITY_DN18158_c2_g2	yes	1	0.0	0.0	0.01378	0.483617	3.760447	0.048699	0.0049738560000000005	1.4760906	1.471116744	0.0213814690379812	TRINITY_DN18158_c2_g2_i1.p1	227	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_050559253.1	2.33e-134	369.0	78.667	99.5575	100.897	sp|P46430|GSTT1_MANSE	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1	1.71e-34	125.0	36.2	96.46017699115045	100.46082949308756	0	0	GST_C001	8
GST	TRINITY_DN1824_c0_g1	yes	1	6.71759	7.577001	5.120009	3.943155	3.10422	5.958991	5.380834	3.7079672	-1.6728668	0.653927563330792	TRINITY_DN1824_c0_g1_i1.p1	226	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_035441818.2	3.69e-120	333.0	73.364	95.1111	93.0435	sp|P46430|GSTT1_MANSE	sp|P46430|GSTT1_MANSE Glutathione S-transferase 1 OS=Manduca sexta OX=7130 GN=GST1 PE=2 SV=1	2.13e-47	158.0	42.8	92.44444444444444	95.85253456221199	0	0	GST_C001	8
GST	TRINITY_DN196_c0_g1	yes	1	20.937583	75.340624	13.497852	29.757789	30.634876	35.825061	34.7870518	26.193557199999997	-8.593494600000003	0.999999010765626	TRINITY_DN196_c0_g1_i1.p1	119	provisional_HQ_domain	family_defining_domain_detected	IPR004046;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain					True	False	True	True	Spodoptera|XP_035444198.2	2.26e-53	158.0	65.517	98.3051	56.8627	sp|P46429|GST2_MANSE	sp|P46429|GST2_MANSE Glutathione S-transferase 2 OS=Manduca sexta OX=7130 GN=GST2 PE=2 SV=1	1.17e-35	124.0	52.6	96.61016949152543	56.1576354679803	0	0	GST_C002	4
GST	TRINITY_DN196_c1_g2	yes	2	33.620211999999995	54.670605	31.227857999999998	36.779561	30.862761	27.502089	33.9792072	26.3728382	-7.606368999999997	0.635887243353259	TRINITY_DN196_c1_g2_i1.p1	217	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_035444198.2	8.04e-90	255.0	69.591	78.8018	83.8235	sp|P46429|GST2_MANSE	sp|P46429|GST2_MANSE Glutathione S-transferase 2 OS=Manduca sexta OX=7130 GN=GST2 PE=2 SV=1	7.16e-64	199.0	55.0	78.80184331797236	84.23645320197045	0	0	GST_C002	4
GST	TRINITY_DN196_c6_g1	yes	4	214.314858	314.133576	39.488433	153.974637	225.145662	221.947356	174.51667809999998	167.48648699999998	-7.030191099999996	0.999999010765626	TRINITY_DN196_c6_g1_i10.p1	201	provisional_HQ_domain	family_defining_domain_detected	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain					True	False	True	True	Spodoptera|XP_035444198.2	1.7e-92	261.0	63.317	99.5	97.549	sp|P46429|GST2_MANSE	sp|P46429|GST2_MANSE Glutathione S-transferase 2 OS=Manduca sexta OX=7130 GN=GST2 PE=2 SV=1	3.34e-65	202.0	49.7	99.5	98.0295566502463	0	0	GST_C002	4
