qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	qlen	sstart	send	slen	evalue	bitscore	qcov	scov
TRINITY_DN1110_c0_g2_i1.p1	Spodoptera|XP_035444053.2	25.610	82	53	2	384	458	461	146	226	493	0.12	26.6	17.7874	16.6329
TRINITY_DN7866_c0_g2_i4.p1	Spodoptera|XP_050553385.1	30.909	55	37	1	61	114	144	594	648	1346	0.039	25.8	38.1944	4.08618
TRINITY_DN7866_c0_g2_i4.p1	Spodoptera|XP_035436720.2	26.744	86	49	4	45	120	144	30	111	335	0.92	21.6	59.7222	25.6716
TRINITY_DN1110_c0_g3_i1.p1	Spodoptera|XP_050554451.1	33.333	45	25	2	62	106	119	256	295	516	0.053	25.0	37.8151	8.72093
TRINITY_DN1110_c0_g3_i1.p1	Bmori|NP_001243957.1	35.714	28	18	0	62	89	119	255	282	515	0.11	23.9	23.5294	5.43689
TRINITY_DN1110_c0_g3_i1.p1	Spodoptera|XP_035455002.2	30.357	56	28	3	62	117	119	260	304	521	0.18	23.5	47.0588	10.7486
TRINITY_DN1110_c0_g3_i1.p1	Spodoptera|XP_035454642.2	31.111	45	26	2	62	106	119	257	296	518	0.44	22.3	37.8151	8.68726
TRINITY_DN7168_c0_g1_i20.p1	Bmori|XP_037874115.1	23.158	475	319	10	12	452	494	10	472	479	2.01e-24	98.2	96.1538	99.1649
TRINITY_DN7168_c0_g1_i20.p1	Spodoptera|XP_050552501.1	21.849	476	321	7	12	452	494	16	475	490	2.42e-21	89.0	96.3563	97.1429
TRINITY_DN7168_c0_g1_i20.p1	Bmori|XP_004923500.1	22.899	476	315	12	13	457	494	18	472	503	3.02e-19	82.4	96.3563	94.6322
TRINITY_DN7168_c0_g1_i20.p1	Spodoptera|XP_035456846.2	22.013	477	318	9	13	457	494	18	472	504	6.01e-17	75.5	96.5587	94.6429
TRINITY_DN7168_c0_g1_i20.p1	Spodoptera|XP_035456846.2	42.857	35	15	1	6	35	494	140	174	504	0.36	25.0	7.08502	6.94444
TRINITY_DN3773_c0_g1_i1.p1	Spodoptera|XP_035452567.1	39.394	33	19	1	317	348	527	153	185	523	0.57	24.6	6.26186	6.30975
TRINITY_DN32209_c0_g1_i2.p1	Bmori|XP_004923500.1	19.444	72	43	2	27	94	110	210	270	503	0.48	21.9	65.4545	14.3141
TRINITY_DN9539_c2_g1_i2.p1	Spodoptera|XP_035431933.1	38.462	39	20	1	12	46	919	388	426	438	0.42	25.8	4.24374	8.90411
TRINITY_DN2162_c0_g1_i1.p2	Bmori|NP_001037040.1	60.000	10	4	0	95	104	129	152	161	520	0.68	21.9	7.75194	1.92308
TRINITY_DN2162_c0_g1_i1.p2	Spodoptera|XP_035452567.1	33.333	36	22	2	95	129	129	155	189	523	0.68	21.9	27.907	6.88337
TRINITY_DN36464_c0_g1_i1.p1	Spodoptera|XP_035444053.2	28.889	45	24	1	7	43	196	375	419	493	0.66	22.7	22.9592	9.12779
TRINITY_DN1924_c0_g1_i1.p1	Spodoptera|XP_035456846.2	32.609	46	28	1	662	707	1180	219	261	504	0.46	26.2	3.89831	9.12698
TRINITY_DN39644_c0_g1_i1.p1	Spodoptera|XP_050553385.1	28.571	49	26	2	18	58	113	1089	1136	1346	0.63	21.6	43.3628	3.64042
TRINITY_DN36464_c0_g2_i2.p1	Spodoptera|XP_050552501.1	34.247	73	39	4	358	426	544	200	267	490	0.001	33.5	13.4191	14.898
TRINITY_DN36464_c0_g2_i2.p1	Bmori|XP_021203793.2	45.000	20	10	1	113	132	544	381	399	447	0.12	26.9	3.67647	4.47427
TRINITY_DN36464_c0_g2_i2.p1	Spodoptera|XP_035431933.1	40.000	15	9	0	113	127	544	371	385	438	0.52	24.6	2.75735	3.42466
TRINITY_DN41216_c0_g1_i1.p1	Bmori|XP_037874115.1	27.848	79	57	0	113	191	215	35	113	479	0.001	31.6	36.7442	16.4927
TRINITY_DN41216_c0_g1_i1.p1	Bmori|XP_037874115.1	40.000	30	18	0	146	175	215	327	356	479	0.026	27.3	13.9535	6.26305
TRINITY_DN41216_c0_g1_i1.p1	Spodoptera|XP_050552501.1	33.333	36	24	0	136	171	215	59	94	490	0.21	24.6	16.7442	7.34694
TRINITY_DN5186_c1_g1_i1.p1	Bmori|NP_001091799.1	25.000	40	30	0	139	178	181	136	175	436	0.68	22.3	22.0994	9.17431
TRINITY_DN9574_c0_g1_i10.p1	Bmori|NP_001108473.1	25.000	60	43	1	62	121	125	255	312	407	0.24	23.1	48	14.742
TRINITY_DN3076_c0_g1_i4.p1	Bmori|XP_037874115.1	28.571	42	26	1	55	92	287	75	116	479	0.52	23.9	14.6341	8.76827
TRINITY_DN51834_c0_g1_i1.p1	Spodoptera|XP_035431933.1	37.143	35	20	1	142	176	336	116	148	438	0.40	24.3	10.4167	7.99087
TRINITY_DN23626_c1_g1_i4.p1	Bmori|XP_062529502.1	27.419	62	34	3	3	56	151	371	429	538	0.16	24.3	41.0596	11.5242
TRINITY_DN23626_c1_g1_i4.p1	Bmori|XP_012550238.1	64.706	17	3	1	36	52	151	123	136	531	0.27	23.5	11.2583	3.20151
TRINITY_DN2163_c0_g1_i2.p1	Bmori|NP_001274756.1	59.091	22	8	1	248	268	456	51	72	508	0.14	26.2	4.82456	4.33071
TRINITY_DN2163_c0_g1_i2.p1	Spodoptera|XP_050550361.1	57.895	19	7	1	248	265	456	56	74	516	0.22	25.8	4.16667	3.68217
TRINITY_DN2163_c0_g1_i2.p1	Spodoptera|XP_050559218.1	27.778	36	26	0	38	73	456	47	82	530	0.52	24.6	7.89474	6.79245
TRINITY_DN50223_c0_g1_i1.p1	Spodoptera|XP_035458622.2	21.519	79	50	1	4	82	102	313	379	508	0.29	22.3	77.451	15.5512
TRINITY_DN50223_c0_g1_i1.p1	Bmori|XP_062531495.1	24.138	87	58	3	2	82	102	299	383	517	0.40	21.9	85.2941	16.8279
TRINITY_DN10124_c0_g1_i1.p1	Spodoptera|XP_050553385.1	44.828	29	12	1	390	418	668	1304	1328	1346	0.81	24.6	4.34132	2.15453
TRINITY_DN15011_c0_g1_i1.p1	Bmori|NP_001037040.1	24.091	220	118	8	228	423	560	9	203	520	0.084	27.3	39.2857	42.3077
TRINITY_DN5459_c0_g2_i2.p1	Bmori|NP_001243957.1	27.273	44	32	0	21	64	370	401	444	515	0.89	23.5	11.8919	8.54369
TRINITY_DN51137_c0_g1_i1.p1	Bmori|XP_062527639.1	26.415	53	22	2	109	147	163	162	211	393	0.097	25.0	32.5153	13.486
TRINITY_DN51137_c0_g1_i1.p1	Bmori|XP_021203793.2	22.951	61	30	2	109	155	163	162	219	447	0.099	25.0	37.4233	13.6465
TRINITY_DN51137_c0_g1_i1.p1	Spodoptera|XP_035454584.2	50.000	14	7	0	19	32	163	400	413	518	0.89	21.9	8.58896	2.7027
TRINITY_DN53542_c0_g1_i1.p1	Bmori|NP_001243995.1	35.484	31	20	0	54	84	104	333	363	520	0.97	20.8	29.8077	5.96154
TRINITY_DN547_c2_g2_i12.p1	Spodoptera|XP_035434000.2	25.926	54	40	0	123	176	781	181	234	526	0.54	25.4	6.91421	10.2662
TRINITY_DN20719_c0_g1_i5.p1	Bmori|XP_037870891.1	21.429	84	64	2	47	128	164	233	316	332	0.40	23.1	51.2195	25.3012
TRINITY_DN11176_c0_g1_i1.p1	Bmori|XP_062529124.1	33.333	33	15	2	67	95	124	224	253	887	0.37	22.7	26.6129	3.72041
TRINITY_DN11176_c0_g1_i1.p1	Bmori|NP_001274756.1	28.571	49	29	2	59	101	124	71	119	508	0.80	21.6	39.5161	9.64567
TRINITY_DN547_c2_g5_i5.p1	Bmori|XP_004928320.1	24.359	78	55	1	146	223	260	182	255	286	0.100	25.8	30	27.2727
TRINITY_DN547_c2_g5_i5.p1	Bmori|NP_001243973.1	40.000	20	12	0	233	252	260	63	82	536	0.96	22.7	7.69231	3.73134
TRINITY_DN3633_c0_g1_i1.p1	Spodoptera|XP_035431089.2	28.889	45	25	2	289	333	461	61	98	332	0.48	24.6	9.76139	13.5542
TRINITY_DN547_c2_g6_i1.p1	Bmori|XP_004928320.1	23.077	78	56	1	100	177	190	182	255	286	0.35	23.5	41.0526	27.2727
TRINITY_DN25887_c0_g1_i2.p1	Spodoptera|XP_035454584.2	26.087	46	34	0	34	79	110	71	116	518	0.43	21.9	41.8182	8.88031
TRINITY_DN48510_c0_g1_i1.p1	Spodoptera|XP_050552501.1	37.931	29	18	0	3	31	140	324	352	490	0.74	21.9	20.7143	5.91837
TRINITY_DN18588_c0_g1_i1.p1	Bmori|NP_001243978.1	24.138	58	40	1	2	59	341	26	79	521	0.46	24.3	17.0088	11.1324
TRINITY_DN18588_c0_g1_i1.p1	Spodoptera|XP_035444053.2	35.135	37	20	1	251	283	341	302	338	493	0.54	23.9	10.8504	7.50507
TRINITY_DN18588_c0_g1_i1.p1	Bmori|XP_004932409.1	35.135	37	20	1	251	283	341	279	315	468	0.61	23.9	10.8504	7.90598
TRINITY_DN27456_c0_g2_i1.p1	Spodoptera|XP_050556017.1	25.000	80	56	1	32	111	446	218	293	1039	0.82	23.9	17.9372	7.69971
TRINITY_DN38706_c0_g1_i1.p1	Bmori|XP_012544461.1	62.500	16	6	0	9	24	104	224	239	777	0.059	24.3	15.3846	2.0592
TRINITY_DN38706_c0_g1_i1.p1	Bmori|XP_004924572.1	62.500	16	6	0	9	24	104	224	239	769	0.062	24.3	15.3846	2.08062
TRINITY_DN38706_c0_g1_i1.p1	Bmori|XP_012544462.1	62.500	16	6	0	9	24	104	224	239	754	0.063	24.3	15.3846	2.12202
TRINITY_DN38706_c0_g1_i1.p1	Spodoptera|XP_035449977.1	62.500	16	6	0	9	24	104	224	239	777	0.081	23.9	15.3846	2.0592
TRINITY_DN38706_c0_g1_i1.p1	Spodoptera|XP_035449979.1	62.500	16	6	0	9	24	104	224	239	753	0.084	23.9	15.3846	2.12483
TRINITY_DN38706_c0_g1_i1.p1	Spodoptera|XP_035449978.1	62.500	16	6	0	9	24	104	224	239	769	0.087	23.9	15.3846	2.08062
TRINITY_DN38706_c0_g1_i1.p1	Bmori|XP_062527639.1	41.176	17	10	0	55	71	104	77	93	393	0.44	21.9	16.3462	4.3257
TRINITY_DN38706_c0_g1_i1.p1	Bmori|XP_021203793.2	41.176	17	10	0	55	71	104	77	93	447	0.45	21.9	16.3462	3.80313
TRINITY_DN3772_c0_g1_i1.p1	Bmori|NP_001274756.1	41.379	29	17	0	89	117	671	330	358	508	0.91	24.3	4.32191	5.70866
TRINITY_DN3749_c0_g1_i4.p1	Spodoptera|XP_035456846.2	40.541	37	20	1	70	104	307	145	181	504	0.10	26.2	12.0521	7.34127
TRINITY_DN3749_c0_g1_i4.p1	Spodoptera|XP_050559218.1	32.203	59	32	3	2	52	307	134	192	530	0.48	23.9	19.2182	11.1321
TRINITY_DN3074_c0_g1_i6.p1	Bmori|NP_001108473.1	26.667	90	56	2	360	445	1426	134	217	407	0.38	26.6	6.31136	22.113
TRINITY_DN10939_c0_g1_i29.p1	Bmori|XP_062532873.1	21.145	227	135	5	1451	1677	2530	234	416	629	8.28e-05	39.7	8.97233	36.089
TRINITY_DN10939_c0_g1_i29.p1	Spodoptera|XP_050553385.1	22.989	87	50	2	1591	1677	2530	1071	1140	1346	0.030	31.6	3.43874	6.4636
TRINITY_DN10939_c0_g1_i29.p1	Bmori|NP_001116813.1	29.870	77	48	3	2120	2195	2530	23	94	327	0.27	27.7	3.04348	23.5474
TRINITY_DN10264_c0_g1_i5.p1	Bmori|NP_001243956.1	45.000	20	11	0	15	34	101	81	100	515	0.19	22.7	19.802	3.8835
TRINITY_DN10264_c0_g1_i5.p1	Bmori|XP_062529502.1	25.556	90	59	4	14	100	101	387	471	538	0.38	21.9	89.1089	16.7286
TRINITY_DN15151_c0_g1_i1.p1	Spodoptera|XP_050550361.1	38.095	21	13	0	106	126	128	437	457	516	0.23	23.1	16.4062	4.06977
TRINITY_DN18331_c0_g1_i1.p1	Spodoptera|XP_035436808.1	42.857	21	12	0	103	123	183	238	258	434	0.95	21.9	11.4754	4.83871
TRINITY_DN18331_c0_g2_i1.p1	Spodoptera|XP_035449983.2	41.935	31	17	1	245	275	302	181	210	539	0.025	28.1	10.2649	5.75139
TRINITY_DN18331_c0_g2_i1.p1	Spodoptera|XP_035454998.2	31.915	47	27	1	109	155	302	406	447	521	0.58	23.9	15.5629	9.02111
TRINITY_DN18331_c0_g2_i1.p1	Spodoptera|XP_035454642.2	28.571	49	30	1	109	157	302	401	444	518	0.60	23.5	16.2252	9.45946
TRINITY_DN18331_c0_g2_i1.p1	Spodoptera|XP_050559578.1	25.000	84	57	2	79	158	302	359	440	514	0.89	23.1	27.8146	16.3424
TRINITY_DN302_c0_g1_i10.p1	Bmori|XP_037874115.1	22.336	488	336	10	1	455	462	1	478	479	2.74e-28	109	105.628	101.879
TRINITY_DN302_c0_g1_i10.p1	Bmori|XP_004923500.1	22.661	481	325	12	1	450	462	4	468	503	4.76e-24	97.1	104.113	95.6262
TRINITY_DN302_c0_g1_i10.p1	Spodoptera|XP_050552501.1	21.532	483	325	9	12	455	462	14	481	490	5.55e-23	93.6	104.545	98.5714
TRINITY_DN302_c0_g1_i10.p1	Spodoptera|XP_035456846.2	22.081	471	328	11	7	450	462	10	468	504	3.43e-21	88.2	101.948	93.4524
TRINITY_DN1225_c0_g3_i1.p1	Bmori|XP_062529502.1	44.444	27	11	1	338	360	423	197	223	538	0.62	24.3	6.38298	5.01859
TRINITY_DN8660_c0_g1_i1.p1	Bmori|XP_062529502.1	28.571	56	34	2	496	551	684	168	217	538	0.69	24.6	8.18713	10.4089
TRINITY_DN33701_c0_g1_i1.p1	Spodoptera|XP_050553385.1	38.889	18	11	0	35	52	102	1250	1267	1346	0.015	26.2	17.6471	1.3373
TRINITY_DN18470_c0_g1_i3.p1	Spodoptera|XP_035440285.2	31.579	38	21	1	51	88	111	430	462	521	0.49	21.9	34.2342	7.29367
TRINITY_DN4544_c0_g1_i4.p2	Spodoptera|XP_035431933.1	31.250	48	27	2	6	50	138	84	128	438	0.67	21.9	34.7826	10.9589
TRINITY_DN31435_c0_g1_i1.p1	Bmori|XP_062529124.1	39.409	203	114	4	3	197	197	632	833	887	3.09e-40	137	103.046	22.8861
TRINITY_DN31435_c0_g1_i1.p1	Spodoptera|XP_050553385.1	32.828	198	127	2	6	197	197	664	861	1346	2.11e-32	115	100.508	14.7103
TRINITY_DN8776_c0_g1_i2.p1	Bmori|XP_062532873.1	26.230	61	35	2	111	169	213	29	81	629	0.52	23.1	28.6385	9.69793
TRINITY_DN8776_c0_g1_i2.p1	Bmori|XP_037870978.1	25.000	52	31	1	118	169	213	90	133	281	0.64	22.7	24.4131	18.5053
TRINITY_DN30522_c0_g1_i1.p1	Spodoptera|XP_035458586.2	25.510	98	66	3	9	101	135	27	122	516	0.26	23.1	72.5926	18.9922
TRINITY_DN57634_c0_g1_i1.p1	Spodoptera|XP_035452567.1	26.744	86	51	2	48	122	134	190	274	523	0.048	25.4	64.1791	16.4436
TRINITY_DN9432_c0_g1_i1.p1	Spodoptera|XP_035440285.2	39.474	38	18	1	61	93	322	395	432	521	0.23	25.0	11.8012	7.29367
TRINITY_DN31574_c0_g1_i1.p1	Spodoptera|XP_035444053.2	33.333	30	20	0	249	278	431	146	175	493	0.84	23.9	6.96056	6.08519
TRINITY_DN4684_c0_g1_i2.p1	Bmori|XP_062529124.1	27.500	40	29	0	74	113	159	813	852	887	0.63	22.3	25.1572	4.50958
TRINITY_DN581_c0_g1_i10.p1	Spodoptera|XP_050554451.1	31.148	61	26	3	300	360	455	289	333	516	0.032	28.5	13.4066	11.8217
TRINITY_DN581_c0_g1_i10.p1	Spodoptera|XP_035454584.2	31.148	61	26	3	300	360	455	290	334	518	0.12	26.6	13.4066	11.7761
TRINITY_DN581_c0_g1_i10.p1	Bmori|NP_001243978.1	28.358	67	32	3	300	366	455	293	343	521	0.45	24.6	14.7253	12.8599
TRINITY_DN581_c0_g1_i10.p1	Spodoptera|XP_035454642.2	25.275	91	46	6	300	390	455	290	358	518	0.67	24.3	20	17.5676
TRINITY_DN685_c2_g4_i1.p1	Bmori|XP_004932409.1	36.667	30	18	1	5	34	215	264	292	468	0.60	23.1	13.9535	6.41026
TRINITY_DN685_c2_g4_i1.p1	Spodoptera|XP_035444053.2	33.333	30	19	1	5	34	215	287	315	493	0.75	22.7	13.9535	6.08519
TRINITY_DN14494_c0_g1_i1.p1	Spodoptera|XP_050553385.1	29.949	778	483	25	184	929	1052	431	1178	1346	4.21e-88	302	73.9544	57.8009
TRINITY_DN14494_c0_g1_i1.p1	Bmori|XP_062529124.1	29.201	613	371	15	35	634	1052	285	847	887	4.83e-68	238	58.27	69.1094
TRINITY_DN14494_c0_g1_i1.p1	Bmori|XP_062532873.1	22.857	210	151	5	717	925	1052	251	450	629	5.53e-13	64.7	19.962	33.3863
TRINITY_DN7166_c0_g1_i3.p1	Bmori|XP_004932409.1	36.735	49	24	1	446	487	1004	312	360	468	0.79	25.0	4.88048	10.4701
TRINITY_DN59342_c0_g1_i1.p1	Spodoptera|XP_035449977.1	36.364	33	18	1	64	96	107	613	642	777	0.84	21.2	30.8411	4.2471
TRINITY_DN59342_c0_g1_i1.p1	Spodoptera|XP_035449978.1	36.364	33	18	1	64	96	107	613	642	769	0.87	21.2	30.8411	4.29129
TRINITY_DN59342_c0_g1_i1.p1	Spodoptera|XP_035449979.1	36.364	33	18	1	64	96	107	613	642	753	0.92	21.2	30.8411	4.38247
TRINITY_DN3771_c0_g1_i3.p1	Spodoptera|XP_050553385.1	34.884	43	23	2	552	589	1015	233	275	1346	0.43	26.2	4.23645	3.19465
TRINITY_DN2160_c0_g1_i1.p1	Spodoptera|XP_035449979.1	34.375	32	21	0	68	99	153	432	463	753	0.32	23.1	20.915	4.24967
TRINITY_DN2160_c0_g1_i1.p1	Spodoptera|XP_035449978.1	34.375	32	21	0	68	99	153	432	463	769	0.32	23.1	20.915	4.16125
TRINITY_DN2160_c0_g1_i1.p1	Spodoptera|XP_035449977.1	34.375	32	21	0	68	99	153	432	463	777	0.32	23.1	20.915	4.1184
TRINITY_DN11732_c0_g1_i1.p1	Spodoptera|XP_035458586.2	29.412	34	15	1	94	127	221	311	335	516	0.83	22.7	15.3846	6.58915
TRINITY_DN1224_c0_g1_i1.p1	Spodoptera|XP_035430162.1	37.037	27	17	0	100	126	129	261	287	350	0.048	25.0	20.9302	7.71429
TRINITY_DN1224_c0_g1_i1.p1	Spodoptera|XP_035454998.2	41.935	31	18	0	4	34	129	102	132	521	0.16	23.5	24.031	5.9501
TRINITY_DN1224_c0_g1_i1.p1	Spodoptera|XP_035437321.1	42.857	21	12	0	103	123	129	246	266	286	0.18	23.5	16.2791	7.34266
TRINITY_DN1224_c0_g1_i1.p1	Spodoptera|XP_035437320.1	42.857	21	12	0	103	123	129	260	280	300	0.19	23.5	16.2791	7
TRINITY_DN1224_c0_g1_i1.p1	Bmori|NP_001243978.1	30.120	83	51	3	8	83	129	333	415	521	0.20	23.5	64.3411	15.9309
TRINITY_DN1224_c0_g1_i1.p1	Bmori|XP_012551722.1	39.130	23	14	0	103	125	129	273	295	356	0.45	22.3	17.8295	6.46067
TRINITY_DN1224_c0_g1_i1.p1	Bmori|NP_001243995.1	32.836	67	42	2	20	83	129	348	414	520	0.85	21.6	51.938	12.8846
TRINITY_DN41214_c0_g1_i1.p1	Bmori|XP_012550238.1	43.478	23	13	0	158	180	254	281	303	531	0.27	24.6	9.05512	4.33145
TRINITY_DN41214_c0_g1_i1.p1	Bmori|NP_001243978.1	34.146	41	22	1	161	201	254	180	215	521	0.68	23.1	16.1417	7.86948
TRINITY_DN41214_c0_g1_i1.p1	Spodoptera|XP_050556017.1	28.571	63	45	0	83	145	254	381	443	1039	0.91	22.7	24.8031	6.06352
TRINITY_DN46101_c0_g1_i1.p2	Spodoptera|XP_035454642.2	34.091	44	28	1	38	80	108	54	97	518	0.28	22.3	40.7407	8.49421
TRINITY_DN46101_c0_g1_i1.p2	Spodoptera|XP_035449983.2	58.333	12	5	0	84	95	108	53	64	539	0.78	21.2	11.1111	2.22635
TRINITY_DN283_c1_g1_i2.p1	Bmori|XP_004927391.1	64.286	14	5	0	19	32	696	17	30	112	0.52	24.3	2.01149	12.5
TRINITY_DN283_c1_g1_i2.p1	Spodoptera|XP_050550708.1	64.286	14	5	0	19	32	696	17	30	112	0.67	23.9	2.01149	12.5
TRINITY_DN28925_c0_g1_i5.p1	Spodoptera|XP_035438682.2	35.417	48	23	2	137	182	192	114	155	566	0.27	23.9	25	8.48057
TRINITY_DN11576_c1_g1_i17.p1	Spodoptera|XP_050553385.1	28.488	172	84	7	375	534	841	1034	1178	1346	9.24e-08	47.8	20.4518	12.7786
TRINITY_DN11576_c1_g1_i17.p1	Bmori|XP_062532873.1	25.478	157	89	5	337	483	841	270	408	629	1.16e-07	47.0	18.6683	24.9603
TRINITY_DN5456_c0_g1_i2.p1	Bmori|NP_001243973.1	33.333	54	31	2	53	104	214	222	272	536	0.17	24.6	25.2336	10.0746
TRINITY_DN33002_c0_g1_i1.p1	Bmori|XP_062529124.1	28.125	32	23	0	87	118	139	415	446	887	0.25	23.5	23.0216	3.60767
TRINITY_DN24134_c0_g2_i2.p1	Bmori|NP_001243957.1	31.373	51	31	1	23	73	214	400	446	515	0.16	24.6	23.8318	9.90291
TRINITY_DN24134_c0_g2_i2.p1	Bmori|NP_001135960.1	26.154	65	38	2	32	90	214	408	468	514	0.94	22.3	30.3738	12.6459
TRINITY_DN24134_c0_g3_i1.p1	Bmori|XP_062532873.1	34.091	44	29	0	44	87	114	365	408	629	1.54e-04	32.3	38.5965	6.99523
TRINITY_DN24134_c0_g3_i1.p1	Spodoptera|XP_050553385.1	30.508	59	40	1	42	99	114	1087	1145	1346	0.001	30.0	51.7544	4.38336
TRINITY_DN698_c0_g1_i1.p1	Bmori|XP_037874115.1	28.814	59	35	2	15	73	283	254	305	479	0.81	23.1	20.8481	12.3173
TRINITY_DN59459_c0_g1_i1.p1	Spodoptera|XP_035431933.1	31.818	66	42	3	21	85	101	235	298	438	0.16	23.1	65.3465	15.0685
TRINITY_DN6112_c0_g1_i1.p1	Bmori|NP_001116813.1	38.462	26	16	0	228	253	263	31	56	327	0.72	23.1	9.88593	7.95107
TRINITY_DN37932_c0_g1_i1.p1	Bmori|XP_004930782.1	43.750	16	9	0	56	71	100	186	201	217	0.71	21.2	16	7.37327
TRINITY_DN701_c1_g2_i2.p1	Spodoptera|XP_035449983.2	27.500	40	29	0	22	61	113	300	339	539	0.086	24.3	35.3982	7.42115
TRINITY_DN1468_c2_g1_i13.p1	Spodoptera|XP_050556017.1	29.348	92	56	3	129	213	593	189	278	1039	0.24	26.2	15.5143	8.85467
TRINITY_DN1468_c2_g1_i13.p1	Spodoptera|XP_035435090.1	33.333	57	30	3	184	236	593	19	71	286	0.66	24.6	9.61214	19.9301
TRINITY_DN1364_c0_g1_i4.p1	Spodoptera|XP_050553385.1	30.000	60	32	2	34	93	313	605	654	1346	0.011	29.3	19.1693	4.45765
TRINITY_DN7839_c0_g1_i2.p1	Spodoptera|XP_050553385.1	24.390	41	31	0	499	539	625	990	1030	1346	0.28	26.2	6.56	3.04606
TRINITY_DN7839_c0_g2_i1.p1	Bmori|XP_012550238.1	22.330	103	61	3	81	165	247	67	168	531	0.18	25.0	41.7004	19.3974
TRINITY_DN7839_c0_g2_i1.p1	Spodoptera|XP_035452567.1	26.471	136	72	7	86	210	247	300	418	523	0.58	23.5	55.0607	26.0038
TRINITY_DN29022_c0_g1_i1.p1	Spodoptera|XP_050556017.1	33.333	42	27	1	213	253	303	65	106	1039	0.56	23.9	13.8614	4.04235
TRINITY_DN29022_c0_g1_i1.p1	Spodoptera|XP_035458586.2	26.667	75	47	3	47	118	303	357	426	516	0.95	23.1	24.7525	14.5349
TRINITY_DN25885_c0_g1_i1.p1	Bmori|XP_062532873.1	35.135	37	21	1	161	197	204	149	182	629	0.004	29.6	18.1373	5.88235
