gene_id	module	stability	Dan_mean	Mul_mean	MaxMean	log2FC_Dan_vs_Mul	CV_Dan	CV_Mul	expressed_samples_TPM1	Bmori_title	Spodo_title	peptide_length	Bmori_pident	Spodo_pident	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_sd	Mul_sd	mean_TPM	MinMean	Dan_expressed_TPM1	Mul_expressed_TPM1	representative_txid	representative_pepid	Bmori_top1_id	Bmori_bitscore	Spodo_top1_id	Spodo_bitscore
TRINITY_DN276_c0_g2	core_shared	stable	6.50969866666667	7.97542133333333	7.97542133333333	-0.288953032684266	0.423141333898882	0.350418130419907	6	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]	503	56.832	72.244	4.5435	9.711546	5.27405	10.606995	8.337054	4.982215	2.79683671048299	2.8297740459797	7.24256	6.50969866666667	3	3	TRINITY_DN276_c0_g2_i1	TRINITY_DN276_c0_g2_i1.p1	ref|XP_004927968.1|	615	XP_050561169.1	769
TRINITY_DN257_c3_g1	core_shared	stable	6.58087366666667	7.26907433333333	7.26907433333333	-0.141446628316081	0.205038054299093	0.19238480086054	6	cytochrome P450 [Bombyx mori]	XP_035436192.2 cytochrome P450 6a2 [Spodoptera frugiperda]	494	75.372	84.894	7.901406	6.674656	5.166559	8.411682	7.713006	5.682535	1.36983333763138	1.41769789814485	6.924974	6.58087366666667	3	3	TRINITY_DN257_c3_g1_i1	TRINITY_DN257_c3_g1_i1.p1	ref|NP_001296520.1|	737	XP_035436192.2	847
TRINITY_DN1316_c0_g1	core_shared	stable	5.22854033333333	5.68349433333333	5.68349433333333	-0.11820103470354	0.338757715527592	0.230866489779241	6	cytochrome P450 9e2-like [Bombyx mori]	XP_050559013.1 cytochrome P450 9e2 [Spodoptera frugiperda]	516	68.932	76.908	4.100819	7.310463	4.274339	4.791651	5.04026	7.218572	1.80508415041663	1.3352150353948	5.45601733333333	5.22854033333333	3	3	TRINITY_DN1316_c0_g1_i11	TRINITY_DN1316_c0_g1_i11.p1	ref|NP_001266295.1|	752	XP_050559013.1	845
TRINITY_DN3691_c0_g1	core_shared	stable	3.32759566666667	5.028955	5.028955	-0.581467980347307	0.200374875645582	0.680972521660447	6	cytochrome P450 4C1 isoform X1 [Bombyx mori]	XP_035447140.2 cytochrome P450 4C1 [Spodoptera frugiperda]	493	65.854	77.236	3.230471	4.057792	2.694524	1.99537	4.244266	8.847229	0.68680405547167	3.49267741983296	4.17827533333333	3.32759566666667	3	3	TRINITY_DN3691_c0_g1_i15	TRINITY_DN3691_c0_g1_i15.p1	ref|XP_062530757.1|	693	XP_035447140.2	801
TRINITY_DN3078_c0_g2	core_shared	stable	2.86707833333333	4.70915233333333	4.70915233333333	-0.696739609663954	0.318104677782772	0.204857203397085	6	cytochrome P450 monooxygenase [Bombyx mori]	XP_035436115.2 cytochrome P450 306a1 [Spodoptera frugiperda]	540	77.365	87.151	2.331363	3.956881	2.312991	3.899549	5.806056	4.421852	0.943841497181245	0.985189497717233	3.78811533333333	2.86707833333333	3	3	TRINITY_DN3078_c0_g2_i1	TRINITY_DN3078_c0_g2_i1.p1	ref|NP_001106222.1|	901	XP_035436115.2	973
TRINITY_DN127_c0_g5	core_shared	moderate	4.44003866666667	2.440222	4.44003866666667	0.837749999428507	0.939072119190662	0.439861788960621	6	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	453	59.375	71.812	2.025318	9.362722	1.932076	3.159568	3.00811	1.152988	4.26342373191421	1.11734659327713	3.44013033333333	2.440222	3	3	TRINITY_DN127_c0_g5_i1	TRINITY_DN127_c0_g5_i1.p1	ref|NP_001135414.1|	569	XP_050552986.1	704
TRINITY_DN3637_c1_g1	core_shared	stable	1.89962966666667	1.75260566666667	1.89962966666667	0.110177004671288	0.449625486265342	0.102902249105374	6	cytochrome P450 4C1 isoform X1 [Bombyx mori]	XP_050563797.1 cytochrome P450 4C1 [Spodoptera frugiperda]	496	58.182	81.818	1.265013	2.928485	1.505391	1.918554	1.794885	1.544378	0.899084461225603	0.190637289805361	1.82611766666667	1.75260566666667	3	3	TRINITY_DN3637_c1_g1_i3	TRINITY_DN3637_c1_g1_i3.p1	ref|XP_062530757.1|	595	XP_050563797.1	871
TRINITY_DN5241_c0_g1	Dan_biased	moderate	93.2262953333333	19.7581333333333	93.2262953333333	2.23255361197254	0.904479776594555	0.697235092312541	5	cytochrome P450 6B1-like [Bombyx mori]	XP_035430751.1 cytochrome P450 6k1-like [Spodoptera frugiperda]	498	36.62	69.636	0.982738	112.077438	166.61871	8.533322	15.5111	35.229978	84.4117467534908	13.8457874278214	56.4922143333333	19.7581333333333	2	3	TRINITY_DN5241_c0_g1_i1	TRINITY_DN5241_c0_g1_i1.p1	ref|NP_001266314.1|	332	XP_035430751.1	745
TRINITY_DN127_c0_g1	Dan_biased	stable	78.4001873333333	13.8233346666667	78.4001873333333	2.49519131592912	0.692947634599064	0.601390226412531	6	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	553	56.357	68.762	38.015095	140.255241	56.930226	11.391027	23.143563	6.935414	54.3965191282168	8.37335738760411	46.111761	13.8233346666667	3	3	TRINITY_DN127_c0_g1_i3	TRINITY_DN127_c0_g1_i3.p1	ref|NP_001135414.1|	632	XP_050552986.1	774
TRINITY_DN1840_c0_g2	Dan_biased	stable	47.8732056666667	21.9828233333333	47.8732056666667	1.11930421119406	0.577866090937721	0.354630201106564	6	cytochrome P450 CYP332A1 [Bombyx mori]	XP_050553196.1 cytochrome P450 6l1 [Spodoptera frugiperda]	536	63.984	80.517	22.099791	44.318729	77.201097	17.839026	31.015323	17.094121	27.722088828348	7.83123607970072	34.9280145	21.9828233333333	3	3	TRINITY_DN1840_c0_g2_i23	TRINITY_DN1840_c0_g2_i23.p1	ref|NP_001108340.1|	680	XP_050553196.1	859
TRINITY_DN14631_c0_g1	Dan_biased	moderate	11.4784026666667	0.437851333333333	11.4784026666667	4.42808497075172	1.18411353721262	1.01540406103461	3	cytochrome P450 6B1-like [Bombyx mori]	XP_035430624.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	496	35	69.168	0.355301	26.795746	7.284161	0.263738	1.049816	0	13.7101433368987	0.546136428099549	5.958127	0.437851333333333	2	1	TRINITY_DN14631_c0_g1_i1	TRINITY_DN14631_c0_g1_i1.p1	ref|NP_001266314.1|	320	XP_035430624.2	708
TRINITY_DN44701_c0_g1	Dan_biased	moderate	3.933678	1.50782366666667	3.933678	1.32698672939196	0.786265618562256	0.540157406721257	4	cytochrome P450 CYP4G25 [Bombyx mori]	XP_035431180.1 cytochrome P450 4g15 [Spodoptera frugiperda]	557	86.413	94.255	0.562322	6.857964	4.380748	2.493413	1.175385	0.854673	3.17154232775096	0.868477862251729	2.72075083333333	1.50782366666667	2	2	TRINITY_DN44701_c0_g1_i1	TRINITY_DN44701_c0_g1_i1.p1	ref|NP_001106223.1|	987	XP_035431180.1	1076
TRINITY_DN9010_c0_g1	Dan_biased	moderate	3.409789	0.0414103333333333	3.409789	4.63342485007242	0.84186005061685	0.195240044704839	2	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561170.1 cytochrome P450 CYP12A2-like [Spodoptera frugiperda]	505	56.587	75.604	4.845675	5.372187	0.011505	0.040361	0.069529	0.014341	2.95475114519446	0.0276089598017262	1.72559966666667	0.0414103333333333	2	0	TRINITY_DN9010_c0_g1_i8	TRINITY_DN9010_c0_g1_i8.p1	ref|XP_004927968.1|	558	XP_050561170.1	749
TRINITY_DN241_c0_g2	Mul_biased	moderate	13.747619	76.0539936666667	76.0539936666667	-2.45928176008455	0.826408459724198	0.570774571669508	6	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]	503	40.825	60.956	1.453865	15.698304	24.090688	115.916747	82.53436	29.710874	11.4437894886375	43.4667631160141	44.9008063333333	13.747619	3	3	TRINITY_DN241_c0_g2_i4	TRINITY_DN241_c0_g2_i4.p1	ref|NP_001106226.1|	414	XP_035447638.2	672
TRINITY_DN3752_c0_g1	Mul_biased	stable	4.74978233333333	21.8809333333333	21.8809333333333	-2.18026074271983	0.43798583802566	0.474405797137114	6	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	XP_050552985.1 cytochrome P450 6B7-like [Spodoptera frugiperda]	524	58.397	71.264	2.64771	6.895315	4.706322	28.853851	26.895918	9.893031	2.12413597950704	10.4278821998178	13.3153578333333	4.74978233333333	3	3	TRINITY_DN3752_c0_g1_i1	TRINITY_DN3752_c0_g1_i1.p1	ref|XP_012552063.3|	665	XP_050552985.1	816
TRINITY_DN147_c0_g1	Mul_biased	stable	7.289859	16.8353696666667	16.8353696666667	-1.19642073560954	0.562700459633079	0.541068928714245	6	cytochrome P450 6B2 [Bombyx mori]	XP_035455539.2 cytochrome P450 6B7-like [Spodoptera frugiperda]	514	63.086	80.876	2.813354	11.032088	8.024135	27.08889	13.969863	9.447356	4.15827705592364	9.16320232292305	12.0626143333333	7.289859	3	3	TRINITY_DN147_c0_g1_i11	TRINITY_DN147_c0_g1_i11.p1	ref|XP_012545238.2|	702	XP_035455539.2	860
TRINITY_DN127_c0_g2	Mul_biased	stable	5.99076833333333	14.9629833333333	14.9629833333333	-1.3063113978936	0.479201699820724	0.678334984848239	6	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	544	56.952	68.431	3.031418	8.867058	6.073829	14.092697	25.58804	5.208213	2.91870653854757	10.2177485711859	10.4768758333333	5.99076833333333	3	3	TRINITY_DN127_c0_g2_i1	TRINITY_DN127_c0_g2_i1.p1	ref|NP_001135414.1|	636	XP_050552986.1	771
TRINITY_DN10198_c0_g1	Mul_biased	stable	0.672543333333333	2.03880366666667	2.03880366666667	-1.46911629140426	0.643704526595145	0.299837616300519	4	cytochrome P450 4c3 isoform X1 [Bombyx mori]	XP_035459320.2 cytochrome P450 4d2 isoform X1 [Spodoptera frugiperda]	512	69.777	79.755	0.291902	1.235196	0.490532	2.08273	2.657005	1.376676	0.497289640657568	0.641293793148143	1.3556735	0.672543333333333	1	3	TRINITY_DN10198_c0_g1_i10	TRINITY_DN10198_c0_g1_i10.p1	ref|XP_037875026.1|	739	XP_035459320.2	834
TRINITY_DN3972_c1_g1	low_or_unstable	variable	0.633784666666667	1.29596233333333	1.29596233333333	-0.927831351310666	0.183558981900413	1.47584664386157	1	cytochrome P450 4C1-like precursor [Bombyx mori]	XP_035428975.2 cytochrome P450 4d2-like [Spodoptera frugiperda]	508	57.451	65.988	0.482851	0.741754	0.676749	3.671628	0.216259	0	0.134692766347467	2.06022632460716	0.9648735	0.633784666666667	0	1	TRINITY_DN3972_c1_g1_i3	TRINITY_DN3972_c1_g1_i3.p1	ref|NP_001266437.1|	631	XP_035428975.2	698
TRINITY_DN10997_c0_g1	low_or_unstable	stable	0.337049	0.677489333333333	0.677489333333333	-0.831027845128612	0.585065291039611	0.652226633047321	1	cytochrome P450 CYP4L6 precursor [Bombyx mori]	XP_050561171.1 cytochrome P450 4d2 [Spodoptera frugiperda]	493	67.925	88.821	0.321028	0.600385	0.089734	0.611036	1.214539	0.206893	0.255702200383571	0.507099250110206	0.507269166666667	0.337049	0	1	TRINITY_DN10997_c0_g1_i11	TRINITY_DN10997_c0_g1_i11.p1	ref|NP_001108343.1|	684	XP_050561171.1	926
TRINITY_DN12904_c0_g1	low_or_unstable	moderate	0.490703333333333	0.409136	0.490703333333333	0.214382673775581	1.08846770109562	0.669900664346841	1	cytochrome P450 Cyp6AU1 [Bombyx mori]	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]	475	43.404	68.644	0.123761	0.115234	1.233115	0.28587	0.146835	0.794703	0.642961499262851	0.341070544642893	0.449919666666667	0.409136	1	0	TRINITY_DN12904_c0_g1_i1	TRINITY_DN12904_c0_g1_i1.p1	ref|NP_001104826.1|	424	XP_035447638.2	709
TRINITY_DN48582_c0_g1	low_or_unstable	stable	0.117802	0.296207333333333	0.296207333333333	-0.863238381186359	0.337767379328299	0.399037818466736	0	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]	498	35.388	61.771	0.102748	0.197731	0.052927	0.190391	0.47795	0.220281	0.0735664107524623	0.158101709953856	0.207004666666667	0.117802	0	0	TRINITY_DN48582_c0_g1_i2	TRINITY_DN48582_c0_g1_i2.p1	ref|XP_062532223.1|	336	XP_050553870.1	665
TRINITY_DN18331_c0_g2	low_or_unstable	stable	0.0891913333333333	0.160182	0.160182	-0.459675154719768	0.177742980733199	0.710032679843669	0	probable cytochrome P450 49a1-like [Bombyx mori]	XP_050552000.1 probable cytochrome P450 49a1 [Spodoptera frugiperda]	303	82.119	94.702	0.091867	0.054306	0.121401	0.100403	0.367407	0.012736	0.0336274315155549	0.184737722707085	0.124686666666667	0.0891913333333333	0	0	TRINITY_DN18331_c0_g2_i1	TRINITY_DN18331_c0_g2_i1.p1	ref|NP_001274759.1|	506	XP_050552000.1	611
TRINITY_DN26550_c0_g1	low_or_unstable	moderate	0.037905	0.137293333333333	0.137293333333333	-0.782996803759931	0.47607690700771	0.854264284665022	0	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]	327	40.132	72.243	0	0.113715	0	0.041761	0	0.370119	0.0656533858608983	0.202711219655779	0.0875991666666667	0.037905	0	0	TRINITY_DN26550_c0_g1_i2	TRINITY_DN26550_c0_g1_i2.p1	ref|XP_062532223.1|	251	XP_050553870.1	417
TRINITY_DN41557_c0_g1	low_or_unstable	stable	0.122461333333333	0.109871333333333	0.122461333333333	0.0840494787230138	0.182912665807426	0.323874744183791	0	probable cytochrome P450 301a1, mitochondrial [Bombyx mori]	XP_050552001.1 probable cytochrome P450 301a1, mitochondrial [Spodoptera frugiperda]	534	89.792	96.03	0.081607	0.12279	0.162987	0.084247	0.186931	0.058436	0.0406909955190744	0.0679720243948445	0.116166333333333	0.109871333333333	0	0	TRINITY_DN41557_c0_g1_i1	TRINITY_DN41557_c0_g1_i1.p1	ref|XP_021208861.2|	1000	XP_050552001.1	1062
TRINITY_DN59296_c0_g1	low_or_unstable	stable	0.0859696666666667	0.0716983333333333	0.0859696666666667	0.115191288679495	0.235263541962554	0.322578768718525	0	cytochrome P450 18a1 [Bombyx mori]	XP_035436925.2 cytochrome P450 18a1-like [Spodoptera frugiperda]	475	58.936	74.473	0.035501	0.109226	0.113182	0.119819	0.011156	0.08412	0.0437518824775956	0.0553862369576895	0.078834	0.0716983333333333	0	0	TRINITY_DN59296_c0_g1_i1	TRINITY_DN59296_c0_g1_i1.p1	ref|XP_062526654.1|	595	XP_035436925.2	753
