Rank	gene_id	module	stability	CYP_family	CYP_annotation	Dan_mg1_TPM	Dan_mg2_TPM	Dan_mg3_TPM	Dan_pattern	Dan_range_log2	Dan1_vs_Dan23_log2diff	Dan_highest	Dan_lowest	Main_interpretation	Bmori_title	Spodo_title
12	TRINITY_DN147_c0_g1	Mul_biased	stable	CYP6B/6AE-like	CYP6B2	2.81	11.03	8.02	Dan1_low; Dan2_high	1.66	-1.45	Dan_mg2	Dan_mg1	Dan1 weak response in CYP6-related gene	cytochrome P450 6B2 [Bombyx mori]	XP_035455539.2 cytochrome P450 6B7-like [Spodoptera frugiperda]
13	TRINITY_DN352_c0_g1	core_shared	stable	CYP12-like	CYPCYP12A2	4.47	15.68	7.56	Dan1_low; Dan2_high	1.61	-1.13	Dan_mg2	Dan_mg1	Core CYP also shows reduced Dan1 expression	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_035439389.2 cytochrome P450 12b1, mitochondrial [Spodoptera frugiperda]
14	TRINITY_DN180_c0_g1	core_shared	stable	CYP6B/6AE-like	CYPCYP6b29	23.71	63.34	20.48	Mixed	1.58	-0.59	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]
15	TRINITY_DN127_c0_g2	Mul_biased	stable	CYP6B/6AE-like	CYPCYP6ae21	3.03	8.87	6.07	Dan1_low; Dan2_high	1.29	-1.05	Dan_mg2	Dan_mg1	Dan1 weak response in CYP6-related gene	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
16	TRINITY_DN127_c0_g4	core_shared	stable	CYP6B/6AE-like	CYP6B2	119.79	279.69	113.87	Mixed	1.29	-0.57	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
17	TRINITY_DN180_c0_g2	core_shared	stable	CYP6B/6AE-like	CYPCYP6b29	105.16	247.45	195.72	Dan1_low; Dan2_high	1.23	-1.06	Dan_mg2	Dan_mg1	Core CYP also shows reduced Dan1 expression	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]
18	TRINITY_DN3752_c0_g1	Mul_biased	stable	CYP6B/6AE-like	CYP6B2	2.65	6.9	4.71	Mixed	1.11	-0.88	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	XP_050552985.1 cytochrome P450 6B7-like [Spodoptera frugiperda]
19	TRINITY_DN12904_c0_g1	low_or_unstable	moderate	CYP6B/6AE-like	CYPCYP6AU1	0.12	0.12	1.23	Mixed	1	-0.49	Dan_mg3	Dan_mg2	Dan replicates show moderate CYP expression variation	cytochrome P450 Cyp6AU1 [Bombyx mori]	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]
20	TRINITY_DN276_c0_g2	core_shared	stable	CYP12-like	CYPCYP12A2	4.54	9.71	5.27	Mixed	0.95	-0.56	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]
21	TRINITY_DN1632_c1_g1	core_shared	stable	Other_CYP	CYPCYP4M5	17.04	33.53	30.67	Mixed	0.94	-0.87	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	XP_035442125.2 cytochrome P450 4C1 [Spodoptera frugiperda]
22	TRINITY_DN159_c0_g1	core_shared	stable	Other_CYP	probable CYP303a1	167.57	255.01	299.06	Mixed	0.83	-0.72	Dan_mg3	Dan_mg1	Dan replicates show moderate CYP expression variation	probable cytochrome P450 303a1 [Bombyx mori]	XP_050562229.1 probable cytochrome P450 304a1 [Spodoptera frugiperda]
23	TRINITY_DN3637_c1_g1	core_shared	stable	Other_CYP	CYP4C1	1.27	2.93	1.51	Mixed	0.79	-0.47	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 4C1 isoform X1 [Bombyx mori]	XP_050563797.1 cytochrome P450 4C1 [Spodoptera frugiperda]
24	TRINITY_DN10198_c0_g1	Mul_biased	stable	Other_CYP	CYP4c3	0.29	1.24	0.49	Mixed	0.79	-0.5	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 4c3 isoform X1 [Bombyx mori]	XP_035459320.2 cytochrome P450 4d2 isoform X1 [Spodoptera frugiperda]
25	TRINITY_DN1316_c0_g1	core_shared	stable	Other_CYP	CYP9e2-like	4.1	7.31	4.27	Mixed	0.7	-0.38	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 9e2-like [Bombyx mori]	XP_050559013.1 cytochrome P450 9e2 [Spodoptera frugiperda]
26	TRINITY_DN3078_c0_g2	core_shared	stable	Other_CYP	CYPmonooxygenase	2.33	3.96	2.31	Mixed	0.58	-0.28	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 monooxygenase [Bombyx mori]	XP_035436115.2 cytochrome P450 306a1 [Spodoptera frugiperda]
27	TRINITY_DN10997_c0_g1	low_or_unstable	stable	Other_CYP	CYPCYP4L6	0.32	0.6	0.09	Dan3_low	0.55	0	Dan_mg2	Dan_mg3	Exception: Dan3 is low for this CYP	cytochrome P450 CYP4L6 precursor [Bombyx mori]	XP_050561171.1 cytochrome P450 4d2 [Spodoptera frugiperda]
28	TRINITY_DN257_c3_g1	core_shared	stable	Other_CYP	cytochrome P450	7.9	6.67	5.17	Dan3_low	0.53	0.37	Dan_mg1	Dan_mg3	Exception: Dan3 is low for this CYP	cytochrome P450 [Bombyx mori]	XP_035436192.2 cytochrome P450 6a2 [Spodoptera frugiperda]
29	TRINITY_DN3691_c0_g1	core_shared	stable	Other_CYP	CYP4C1	3.23	4.06	2.69	Mixed	0.45	-0.03	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 4C1 isoform X1 [Bombyx mori]	XP_035447140.2 cytochrome P450 4C1 [Spodoptera frugiperda]
30	TRINITY_DN3972_c1_g1	low_or_unstable	variable	Other_CYP	CYP4C1-like	0.48	0.74	0.68	Mixed	0.23	-0.2	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 4C1-like precursor [Bombyx mori]	XP_035428975.2 cytochrome P450 4d2-like [Spodoptera frugiperda]
31	TRINITY_DN276_c0_g1	core_shared	stable	CYP12-like	CYPCYP12A2	38.06	41.54	36.36	Mixed	0.19	-0.03	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]
32	TRINITY_DN48582_c0_g1	low_or_unstable	stable	Other_CYP	CYP4C1-like	0.1	0.2	0.05	Mixed	0.19	-0.03	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]
33	TRINITY_DN26550_c0_g1	low_or_unstable	moderate	Other_CYP	CYP4C1-like	0	0.11	0	Mixed	0.16	-0.08	Dan_mg2	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]
34	TRINITY_DN41557_c0_g1	low_or_unstable	stable	Other_CYP	probable CYP301a1, mitochondrial	0.08	0.12	0.16	Mixed	0.1	-0.08	Dan_mg3	Dan_mg1	Dan replicates show moderate CYP expression variation	probable cytochrome P450 301a1, mitochondrial [Bombyx mori]	XP_050552001.1 probable cytochrome P450 301a1, mitochondrial [Spodoptera frugiperda]
35	TRINITY_DN59296_c0_g1	low_or_unstable	stable	Other_CYP	CYP18a1	0.04	0.11	0.11	Mixed	0.1	-0.1	Dan_mg3	Dan_mg1	Dan replicates show moderate CYP expression variation	cytochrome P450 18a1 [Bombyx mori]	XP_035436925.2 cytochrome P450 18a1-like [Spodoptera frugiperda]
36	TRINITY_DN18331_c0_g2	low_or_unstable	stable	Other_CYP	probable CYP49a1-like	0.09	0.05	0.12	Mixed	0.09	0.01	Dan_mg3	Dan_mg2	Dan replicates show moderate CYP expression variation	probable cytochrome P450 49a1-like [Bombyx mori]	XP_050552000.1 probable cytochrome P450 49a1 [Spodoptera frugiperda]
