HQ36_order	gene_id	module	stability	Dan_mean	Mul_mean	MaxMean	log2FC_Dan_vs_Mul	peptide_length	Bmori_title	Bmori_pident	Bmori_bitscore	Spodo_title	Spodo_pident	Spodo_bitscore	representative_txid	representative_pepid
11	TRINITY_DN276_c0_g2	core_shared	stable	6.50969866666667	7.97542133333333	7.97542133333333	-0.288953032684266	503	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	56.832	ref|XP_004927968.1|	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]	72.244	XP_050561169.1	3	TRINITY_DN276_c0_g2_i1
12	TRINITY_DN257_c3_g1	core_shared	stable	6.58087366666667	7.26907433333333	7.26907433333333	-0.141446628316081	494	cytochrome P450 [Bombyx mori]	75.372	ref|NP_001296520.1|	XP_035436192.2 cytochrome P450 6a2 [Spodoptera frugiperda]	84.894	XP_035436192.2	3	TRINITY_DN257_c3_g1_i1
13	TRINITY_DN1316_c0_g1	core_shared	stable	5.22854033333333	5.68349433333333	5.68349433333333	-0.11820103470354	516	cytochrome P450 9e2-like [Bombyx mori]	68.932	ref|NP_001266295.1|	XP_050559013.1 cytochrome P450 9e2 [Spodoptera frugiperda]	76.908	XP_050559013.1	3	TRINITY_DN1316_c0_g1_i11
14	TRINITY_DN3691_c0_g1	core_shared	stable	3.32759566666667	5.028955	5.028955	-0.581467980347307	493	cytochrome P450 4C1 isoform X1 [Bombyx mori]	65.854	ref|XP_062530757.1|	XP_035447140.2 cytochrome P450 4C1 [Spodoptera frugiperda]	77.236	XP_035447140.2	3	TRINITY_DN3691_c0_g1_i15
15	TRINITY_DN3078_c0_g2	core_shared	stable	2.86707833333333	4.70915233333333	4.70915233333333	-0.696739609663954	540	cytochrome P450 monooxygenase [Bombyx mori]	77.365	ref|NP_001106222.1|	XP_035436115.2 cytochrome P450 306a1 [Spodoptera frugiperda]	87.151	XP_035436115.2	3	TRINITY_DN3078_c0_g2_i1
16	TRINITY_DN127_c0_g5	core_shared	moderate	4.44003866666667	2.440222	4.44003866666667	0.837749999428507	453	cytochrome P450 Cyp6ae21 [Bombyx mori]	59.375	ref|NP_001135414.1|	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	71.812	XP_050552986.1	3	TRINITY_DN127_c0_g5_i1
17	TRINITY_DN3637_c1_g1	core_shared	stable	1.89962966666667	1.75260566666667	1.89962966666667	0.110177004671288	496	cytochrome P450 4C1 isoform X1 [Bombyx mori]	58.182	ref|XP_062530757.1|	XP_050563797.1 cytochrome P450 4C1 [Spodoptera frugiperda]	81.818	XP_050563797.1	3	TRINITY_DN3637_c1_g1_i3
18	TRINITY_DN5241_c0_g1	Dan_biased	moderate	93.2262953333333	19.7581333333333	93.2262953333333	2.23255361197254	498	cytochrome P450 6B1-like [Bombyx mori]	36.62	ref|NP_001266314.1|	XP_035430751.1 cytochrome P450 6k1-like [Spodoptera frugiperda]	69.636	XP_035430751.1	3	TRINITY_DN5241_c0_g1_i1
19	TRINITY_DN127_c0_g1	Dan_biased	stable	78.4001873333333	13.8233346666667	78.4001873333333	2.49519131592912	553	cytochrome P450 Cyp6ae21 [Bombyx mori]	56.357	ref|NP_001135414.1|	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	68.762	XP_050552986.1	3	TRINITY_DN127_c0_g1_i3
20	TRINITY_DN1840_c0_g2	Dan_biased	stable	47.8732056666667	21.9828233333333	47.8732056666667	1.11930421119406	536	cytochrome P450 CYP332A1 [Bombyx mori]	63.984	ref|NP_001108340.1|	XP_050553196.1 cytochrome P450 6l1 [Spodoptera frugiperda]	80.517	XP_050553196.1	3	TRINITY_DN1840_c0_g2_i23
21	TRINITY_DN14631_c0_g1	Dan_biased	moderate	11.4784026666667	0.437851333333333	11.4784026666667	4.42808497075172	496	cytochrome P450 6B1-like [Bombyx mori]	35	ref|NP_001266314.1|	XP_035430624.2 cytochrome P450 6B6-like [Spodoptera frugiperda]	69.168	XP_035430624.2	1	TRINITY_DN14631_c0_g1_i1
22	TRINITY_DN44701_c0_g1	Dan_biased	moderate	3.933678	1.50782366666667	3.933678	1.32698672939196	557	cytochrome P450 CYP4G25 [Bombyx mori]	86.413	ref|NP_001106223.1|	XP_035431180.1 cytochrome P450 4g15 [Spodoptera frugiperda]	94.255	XP_035431180.1	2	TRINITY_DN44701_c0_g1_i1
23	TRINITY_DN9010_c0_g1	Dan_biased	moderate	3.409789	0.0414103333333333	3.409789	4.63342485007242	505	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	56.587	ref|XP_004927968.1|	XP_050561170.1 cytochrome P450 CYP12A2-like [Spodoptera frugiperda]	75.604	XP_050561170.1	0	TRINITY_DN9010_c0_g1_i8
24	TRINITY_DN241_c0_g2	Mul_biased	moderate	13.747619	76.0539936666667	76.0539936666667	-2.45928176008455	503	cytochrome P450 Cyp6b29 [Bombyx mori]	40.825	ref|NP_001106226.1|	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]	60.956	XP_035447638.2	3	TRINITY_DN241_c0_g2_i4
25	TRINITY_DN3752_c0_g1	Mul_biased	stable	4.74978233333333	21.8809333333333	21.8809333333333	-2.18026074271983	524	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	58.397	ref|XP_012552063.3|	XP_050552985.1 cytochrome P450 6B7-like [Spodoptera frugiperda]	71.264	XP_050552985.1	3	TRINITY_DN3752_c0_g1_i1
26	TRINITY_DN147_c0_g1	Mul_biased	stable	7.289859	16.8353696666667	16.8353696666667	-1.19642073560954	514	cytochrome P450 6B2 [Bombyx mori]	63.086	ref|XP_012545238.2|	XP_035455539.2 cytochrome P450 6B7-like [Spodoptera frugiperda]	80.876	XP_035455539.2	3	TRINITY_DN147_c0_g1_i11
27	TRINITY_DN127_c0_g2	Mul_biased	stable	5.99076833333333	14.9629833333333	14.9629833333333	-1.3063113978936	544	cytochrome P450 Cyp6ae21 [Bombyx mori]	56.952	ref|NP_001135414.1|	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	68.431	XP_050552986.1	3	TRINITY_DN127_c0_g2_i1
28	TRINITY_DN10198_c0_g1	Mul_biased	stable	0.672543333333333	2.03880366666667	2.03880366666667	-1.46911629140426	512	cytochrome P450 4c3 isoform X1 [Bombyx mori]	69.777	ref|XP_037875026.1|	XP_035459320.2 cytochrome P450 4d2 isoform X1 [Spodoptera frugiperda]	79.755	XP_035459320.2	3	TRINITY_DN10198_c0_g1_i10
29	TRINITY_DN3972_c1_g1	low_or_unstable	variable	0.633784666666667	1.29596233333333	1.29596233333333	-0.927831351310666	508	cytochrome P450 4C1-like precursor [Bombyx mori]	57.451	ref|NP_001266437.1|	XP_035428975.2 cytochrome P450 4d2-like [Spodoptera frugiperda]	65.988	XP_035428975.2	1	TRINITY_DN3972_c1_g1_i3
30	TRINITY_DN10997_c0_g1	low_or_unstable	stable	0.337049	0.677489333333333	0.677489333333333	-0.831027845128612	493	cytochrome P450 CYP4L6 precursor [Bombyx mori]	67.925	ref|NP_001108343.1|	XP_050561171.1 cytochrome P450 4d2 [Spodoptera frugiperda]	88.821	XP_050561171.1	1	TRINITY_DN10997_c0_g1_i11
31	TRINITY_DN12904_c0_g1	low_or_unstable	moderate	0.490703333333333	0.409136	0.490703333333333	0.214382673775581	475	cytochrome P450 Cyp6AU1 [Bombyx mori]	43.404	ref|NP_001104826.1|	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]	68.644	XP_035447638.2	0	TRINITY_DN12904_c0_g1_i1
32	TRINITY_DN48582_c0_g1	low_or_unstable	stable	0.117802	0.296207333333333	0.296207333333333	-0.863238381186359	498	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	35.388	ref|XP_062532223.1|	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]	61.771	XP_050553870.1	0	TRINITY_DN48582_c0_g1_i2
33	TRINITY_DN18331_c0_g2	low_or_unstable	stable	0.0891913333333333	0.160182	0.160182	-0.459675154719768	303	probable cytochrome P450 49a1-like [Bombyx mori]	82.119	ref|NP_001274759.1|	XP_050552000.1 probable cytochrome P450 49a1 [Spodoptera frugiperda]	94.702	XP_050552000.1	0	TRINITY_DN18331_c0_g2_i1
34	TRINITY_DN26550_c0_g1	low_or_unstable	moderate	0.037905	0.137293333333333	0.137293333333333	-0.782996803759931	327	cytochrome P450 4C1-like isoform X3 [Bombyx mori]	40.132	ref|XP_062532223.1|	XP_050553870.1 cytochrome P450 4V2-like, partial [Spodoptera frugiperda]	72.243	XP_050553870.1	0	TRINITY_DN26550_c0_g1_i2
35	TRINITY_DN41557_c0_g1	low_or_unstable	stable	0.122461333333333	0.109871333333333	0.122461333333333	0.0840494787230138	534	probable cytochrome P450 301a1, mitochondrial [Bombyx mori]	89.792	ref|XP_021208861.2|	XP_050552001.1 probable cytochrome P450 301a1, mitochondrial [Spodoptera frugiperda]	96.03	XP_050552001.1	0	TRINITY_DN41557_c0_g1_i1
36	TRINITY_DN59296_c0_g1	low_or_unstable	stable	0.0859696666666667	0.0716983333333333	0.0859696666666667	0.115191288679495	475	cytochrome P450 18a1 [Bombyx mori]	58.936	ref|XP_062526654.1|	XP_035436925.2 cytochrome P450 18a1-like [Spodoptera frugiperda]	74.473	XP_035436925.2	0	TRINITY_DN59296_c0_g1_i1
