TRINITY_DN114_c0_g1_i11.p1	TRINITY_DN114_c0_g1_i11.p1	100.000	284	284	284	0.0	590
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	41.204	216	226	218	2.60e-57	172
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	40.278	216	226	217	3.03e-56	169
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	37.037	216	226	247	3.39e-50	155
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	35.849	212	226	227	5.90e-45	140
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	34.419	215	226	220	1.09e-38	124
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	30.660	212	226	228	2.45e-36	118
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	28.302	106	226	114	5.09e-10	45.8
TRINITY_DN196_c0_g1_i1.p1	TRINITY_DN196_c0_g1_i1.p1	100.000	119	119	119	8.43e-86	236
TRINITY_DN196_c0_g1_i1.p1	TRINITY_DN196_c6_g1_i10.p1	57.895	114	119	201	5.73e-47	140
TRINITY_DN196_c0_g1_i1.p1	TRINITY_DN196_c1_g2_i1.p1	64.706	85	119	217	5.93e-38	118
TRINITY_DN196_c0_g1_i1.p1	TRINITY_DN1407_c0_g1_i1.p1	29.907	107	119	207	3.27e-14	56.6
TRINITY_DN196_c1_g2_i1.p1	TRINITY_DN196_c1_g2_i1.p1	100.000	217	217	217	1.45e-167	451
TRINITY_DN196_c1_g2_i1.p1	TRINITY_DN196_c6_g1_i10.p1	69.364	173	217	201	4.01e-90	254
TRINITY_DN196_c1_g2_i1.p1	TRINITY_DN196_c0_g1_i1.p1	64.706	85	217	119	1.08e-37	118
TRINITY_DN196_c1_g2_i1.p1	TRINITY_DN1407_c0_g1_i1.p1	30.488	164	217	207	2.26e-24	86.7
TRINITY_DN196_c6_g1_i10.p1	TRINITY_DN196_c6_g1_i10.p1	100.000	201	201	201	6.58e-154	415
TRINITY_DN196_c6_g1_i10.p1	TRINITY_DN196_c1_g2_i1.p1	69.364	173	201	217	3.72e-90	254
TRINITY_DN196_c6_g1_i10.p1	TRINITY_DN196_c0_g1_i1.p1	57.895	114	201	119	9.68e-47	140
TRINITY_DN196_c6_g1_i10.p1	TRINITY_DN1407_c0_g1_i1.p1	31.500	200	201	207	6.72e-30	100
TRINITY_DN196_c6_g1_i10.p1	TRINITY_DN1682_c0_g2_i2.p1	23.718	156	201	247	5.22e-04	29.3
TRINITY_DN1970_c0_g1_i1.p1	TRINITY_DN1970_c0_g1_i1.p1	100.000	241	241	241	0.0	499
TRINITY_DN1970_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	30.864	81	241	218	3.94e-05	33.1
TRINITY_DN1970_c0_g1_i1.p1	TRINITY_DN2000_c0_g1_i17.p1	26.190	84	241	389	3.65e-04	30.4
TRINITY_DN2000_c0_g1_i17.p1	TRINITY_DN2000_c0_g1_i17.p1	100.000	389	389	389	0.0	809
TRINITY_DN2000_c0_g1_i17.p1	TRINITY_DN1407_c0_g1_i1.p1	25.275	91	389	207	2.30e-04	31.6
TRINITY_DN2000_c0_g1_i17.p1	TRINITY_DN1970_c0_g1_i1.p1	26.190	84	389	241	5.89e-04	30.4
TRINITY_DN2379_c0_g3_i3.p1	TRINITY_DN2379_c0_g3_i3.p1	100.000	174	174	174	1.54e-132	358
TRINITY_DN2529_c0_g1_i19.p1	TRINITY_DN2529_c0_g1_i19.p1	100.000	260	260	260	0.0	540
