qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN20355_c0_g1_i13.p1	27.486	724	1399	888	2.08e-69	244	51.7513	81.5315
TRINITY_DN20355_c0_g1_i13.p1	TRINITY_DN12134_c0_g1_i3.p1	29.149	717	888	1395	1.36e-79	274	80.7432	51.3978
TRINITY_DN20355_c0_g1_i13.p1	TRINITY_DN18452_c0_g1_i1.p1	27.486	724	888	1399	1.72e-69	244	81.5315	51.7513
TRINITY_DN20355_c0_g1_i13.p1	TRINITY_DN254_c0_g1_i11.p1	26.000	850	888	1595	3.90e-66	234	95.7207	53.2915
TRINITY_DN20355_c0_g1_i13.p1	TRINITY_DN5424_c0_g1_i1.p1	26.731	722	888	1366	3.55e-64	228	81.3063	52.8551
TRINITY_DN20355_c0_g1_i13.p1	TRINITY_DN662_c0_g4_i1.p1	27.635	702	888	1345	2.81e-63	224	79.0541	52.1933
TRINITY_DN2350_c0_g1_i14.p1	TRINITY_DN1442_c0_g1_i7.p1	48.822	764	791	795	0.0	691	96.5866	96.1006
TRINITY_DN2350_c0_g1_i14.p1	TRINITY_DN5175_c0_g1_i3.p1	39.271	741	791	722	3.58e-178	522	93.6789	102.632
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN662_c0_g1_i2.p1	30.129	1623	1595	1516	0.0	676	101.755	107.058
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN18452_c0_g1_i1.p1	30.889	1350	1595	1399	1.36e-179	569	84.6395	96.4975
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN12134_c0_g1_i3.p1	29.850	1330	1595	1395	1.19e-166	534	83.3856	95.3405
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN54_c0_g1_i1.p1	30.793	1286	1595	1379	4.38e-165	530	80.627	93.256
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN4518_c0_g1_i1.p1	30.383	1356	1595	1363	1.42e-162	522	85.0157	99.4864
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN5424_c0_g1_i1.p1	28.271	1330	1595	1366	2.58e-156	505	83.3856	97.3646
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN9474_c0_g1_i1.p1	30.211	1324	1595	1452	6.50e-153	498	83.0094	91.1846
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN662_c0_g4_i1.p1	27.766	1401	1595	1345	2.26e-143	469	87.837	104.164
TRINITY_DN254_c0_g1_i11.p1	TRINITY_DN20355_c0_g1_i13.p1	26.000	850	1595	888	2.94e-67	238	53.2915	95.7207
TRINITY_DN264_c0_g1_i11.p1	TRINITY_DN33832_c0_g1_i10.p1	41.468	1758	1744	1697	0.0	1335	100.803	103.595
TRINITY_DN264_c0_g1_i11.p1	TRINITY_DN11606_c0_g1_i6.p1	27.084	1787	1744	1641	9.86e-167	543	102.466	108.897
TRINITY_DN30_c14_g1_i4.p1	TRINITY_DN1142_c1_g1_i12.p1	33.545	629	669	764	9.93e-117	360	94.0209	82.3298
TRINITY_DN332_c0_g1_i5.p1	TRINITY_DN7214_c0_g1_i11.p1	44.444	684	698	655	0.0	580	97.9943	104.427
TRINITY_DN332_c0_g1_i5.p1	TRINITY_DN4644_c0_g1_i1.p1	39.668	663	698	638	4.38e-172	500	94.9857	103.918
TRINITY_DN332_c0_g1_i5.p1	TRINITY_DN9946_c0_g2_i2.p1	38.675	649	698	621	2.31e-154	454	92.9799	104.509
TRINITY_DN332_c0_g1_i5.p1	TRINITY_DN12905_c0_g2_i1.p1	37.957	656	698	629	2.17e-153	451	93.9828	104.293
TRINITY_DN332_c0_g1_i5.p1	TRINITY_DN18075_c0_g1_i1.p1	22.127	583	698	645	1.13e-32	126	83.5244	90.3876
TRINITY_DN33353_c0_g1_i3.p1	TRINITY_DN11773_c0_g1_i7.p1	37.960	598	849	768	2.79e-138	422	70.4358	77.8646
TRINITY_DN33353_c0_g1_i3.p1	TRINITY_DN4426_c0_g1_i3.p1	28.571	595	849	707	4.21e-63	218	70.0824	84.1584
TRINITY_DN33353_c0_g1_i3.p1	TRINITY_DN16854_c0_g2_i2.p1	32.244	459	849	548	6.58e-54	189	54.0636	83.7591
TRINITY_DN33832_c0_g1_i10.p1	TRINITY_DN264_c0_g1_i11.p1	41.254	1755	1697	1744	0.0	1320	103.418	100.631
TRINITY_DN33832_c0_g1_i10.p1	TRINITY_DN11606_c0_g1_i6.p1	27.934	1747	1697	1641	3.48e-177	571	102.946	106.459
TRINITY_DN35371_c0_g2_i1.p1	TRINITY_DN37894_c0_g1_i1.p1	29.134	127	224	125	1.96e-18	71.2	56.6964	101.6
TRINITY_DN37894_c0_g1_i1.p1	TRINITY_DN35371_c0_g2_i1.p1	29.134	127	125	224	1.09e-18	71.2	101.6	56.6964
TRINITY_DN4426_c0_g1_i3.p1	TRINITY_DN16854_c0_g2_i2.p1	32.392	531	707	548	2.91e-72	237	75.1061	96.8978
TRINITY_DN4426_c0_g1_i3.p1	TRINITY_DN33353_c0_g1_i3.p1	29.554	538	707	849	5.40e-62	215	76.0962	63.3687
TRINITY_DN4426_c0_g1_i3.p1	TRINITY_DN11773_c0_g1_i7.p1	32.770	473	707	768	3.90e-55	194	66.9024	61.5885
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN54_c0_g1_i1.p1	71.627	1371	1363	1379	0.0	2019	100.587	99.4199
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	46.231	1393	1363	1395	0.0	1210	102.201	99.8566
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN18452_c0_g1_i1.p1	43.289	1423	1363	1399	0.0	1090	104.402	101.716
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN662_c0_g4_i1.p1	41.074	1378	1363	1345	0.0	1018	101.101	102.454
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN5424_c0_g1_i1.p1	40.614	1401	1363	1366	0.0	1017	102.788	102.562
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN9474_c0_g1_i1.p1	37.437	1381	1363	1452	0.0	875	101.321	95.1102
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN254_c0_g1_i11.p1	30.088	1356	1363	1595	5.93e-148	482	99.4864	85.0157
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN662_c0_g1_i2.p1	30.952	798	1363	1516	6.87e-107	364	58.5473	52.6385
TRINITY_DN4518_c0_g1_i1.p1	TRINITY_DN20355_c0_g1_i13.p1	27.246	690	1363	888	1.47e-63	226	50.6236	77.7027
TRINITY_DN4644_c0_g1_i1.p1	TRINITY_DN332_c0_g1_i5.p1	39.668	663	638	698	2.49e-172	500	103.918	94.9857
TRINITY_DN4644_c0_g1_i1.p1	TRINITY_DN4709_c2_g1_i1.p1	42.344	640	638	668	4.08e-163	476	100.313	95.8084
TRINITY_DN4644_c0_g1_i1.p1	TRINITY_DN7214_c0_g1_i11.p1	39.935	616	638	655	5.42e-161	470	96.5517	94.0458
TRINITY_DN4644_c0_g1_i1.p1	TRINITY_DN12905_c0_g2_i1.p1	37.246	639	638	629	2.17e-146	431	100.157	101.59
TRINITY_DN4644_c0_g1_i1.p1	TRINITY_DN9946_c0_g2_i2.p1	35.935	615	638	621	6.88e-127	381	96.395	99.0338
TRINITY_DN4709_c2_g1_i1.p1	TRINITY_DN4644_c0_g1_i1.p1	42.344	640	668	638	1.71e-172	500	95.8084	100.313
TRINITY_DN4709_c2_g1_i1.p1	TRINITY_DN12905_c0_g2_i1.p1	40.095	631	668	629	3.65e-162	473	94.4611	100.318
TRINITY_DN4709_c2_g1_i1.p1	TRINITY_DN7214_c0_g1_i11.p1	39.441	644	668	655	3.80e-152	448	96.4072	98.3206
TRINITY_DN4709_c2_g1_i1.p1	TRINITY_DN9946_c0_g2_i2.p1	38.056	607	668	621	3.86e-130	390	90.8683	97.7456
TRINITY_DN4709_c2_g1_i1.p1	TRINITY_DN13145_c0_g1_i1.p1	24.958	589	668	593	1.84e-38	143	88.1737	99.3255
TRINITY_DN5175_c0_g1_i3.p1	TRINITY_DN1442_c0_g1_i7.p1	40.369	758	722	795	0.0	567	104.986	95.3459
TRINITY_DN5175_c0_g1_i3.p1	TRINITY_DN2350_c0_g1_i14.p1	39.195	745	722	791	6.13e-167	493	103.186	94.1846
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN662_c0_g4_i1.p1	53.558	1363	1366	1345	0.0	1466	99.7804	101.338
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	50.642	1402	1366	1395	0.0	1407	102.635	100.502
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN18452_c0_g1_i1.p1	42.128	1391	1366	1399	0.0	1088	101.83	99.4282
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN4518_c0_g1_i1.p1	40.186	1401	1366	1363	0.0	966	102.562	102.788
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN9474_c0_g1_i1.p1	35.714	1372	1366	1452	0.0	834	100.439	94.4904
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN662_c0_g1_i2.p1	31.986	1410	1366	1516	0.0	644	103.221	93.0079
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN54_c0_g1_i1.p1	37.197	785	1366	1379	2.30e-151	487	57.4671	56.9253
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN254_c0_g1_i11.p1	28.454	1339	1366	1595	1.37e-141	464	98.0234	83.9498
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN20355_c0_g1_i13.p1	26.731	722	1366	888	5.46e-64	228	52.8551	81.3063
TRINITY_DN5424_c0_g1_i1.p1	TRINITY_DN1124_c0_g1_i10.p1	25.864	897	1366	1273	9.55e-63	227	65.6662	70.4635
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN4518_c0_g1_i1.p1	71.959	1373	1379	1363	0.0	2041	99.5649	100.734
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	44.191	1403	1379	1395	0.0	1144	101.74	100.573
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN18452_c0_g1_i1.p1	40.813	1426	1379	1399	0.0	1091	103.408	101.93
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN662_c0_g4_i1.p1	39.642	1395	1379	1345	0.0	978	101.16	103.717
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN5424_c0_g1_i1.p1	39.489	1408	1379	1366	0.0	968	102.103	103.075
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN9474_c0_g1_i1.p1	37.286	1400	1379	1452	0.0	889	101.523	96.4187
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN254_c0_g1_i11.p1	30.499	1282	1379	1595	3.83e-156	505	92.9659	80.3762
TRINITY_DN54_c0_g1_i1.p1	TRINITY_DN662_c0_g1_i2.p1	31.553	824	1379	1516	6.81e-105	358	59.7534	54.3536
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN12134_c0_g1_i3.p1	33.965	1425	1516	1395	0.0	705	93.9974	102.151
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN662_c0_g4_i1.p1	32.448	1393	1516	1345	0.0	673	91.8865	103.569
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN5424_c0_g1_i1.p1	32.006	1406	1516	1366	0.0	656	92.7441	102.928
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN9474_c0_g1_i1.p1	32.411	1410	1516	1452	0.0	644	93.0079	97.1074
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN4518_c0_g1_i1.p1	31.156	1393	1516	1363	0.0	641	91.8865	102.201
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN254_c0_g1_i11.p1	32.599	1408	1516	1595	0.0	632	92.876	88.2759
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN18452_c0_g1_i1.p1	38.147	928	1516	1399	0.0	622	61.2137	66.3331
TRINITY_DN662_c0_g1_i2.p1	TRINITY_DN54_c0_g1_i1.p1	31.432	824	1516	1379	1.36e-102	352	54.3536	59.7534
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN5424_c0_g1_i1.p1	53.558	1363	1345	1366	0.0	1512	101.338	99.7804
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	48.223	1379	1345	1395	0.0	1315	102.528	98.853
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN18452_c0_g1_i1.p1	42.446	1390	1345	1399	0.0	1102	103.346	99.3567
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN4518_c0_g1_i1.p1	41.074	1378	1345	1363	0.0	1034	102.454	101.101
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN9474_c0_g1_i1.p1	36.919	1376	1345	1452	0.0	847	102.305	94.7658
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN662_c0_g1_i2.p1	33.189	1383	1345	1516	0.0	682	102.825	91.2269
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN54_c0_g1_i1.p1	35.888	783	1345	1379	3.94e-154	494	58.2156	56.7803
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN254_c0_g1_i11.p1	27.376	1410	1345	1595	1.13e-137	453	104.833	88.4013
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN20355_c0_g1_i13.p1	27.778	702	1345	888	2.35e-69	244	52.1933	79.0541
TRINITY_DN662_c0_g4_i1.p1	TRINITY_DN1124_c0_g1_i10.p1	27.011	870	1345	1273	2.72e-58	213	64.684	68.3425
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN332_c0_g1_i5.p1	44.444	684	655	698	0.0	581	104.427	97.9943
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN4644_c0_g1_i1.p1	39.935	616	655	638	5.57e-161	470	94.0458	96.5517
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN9946_c0_g2_i2.p1	39.080	609	655	621	2.91e-146	431	92.9771	98.0676
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN4709_c2_g1_i1.p1	39.441	644	655	668	1.18e-142	424	98.3206	96.4072
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN12905_c0_g2_i1.p1	35.443	632	655	629	1.33e-139	414	96.4885	100.477
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN13145_c0_g1_i1.p1	27.222	540	655	593	4.66e-47	167	82.4427	91.0624
TRINITY_DN7214_c0_g1_i11.p1	TRINITY_DN18075_c0_g1_i1.p1	22.780	518	655	645	1.34e-30	119	79.084	80.3101
TRINITY_DN9037_c0_g1_i11.p1	TRINITY_DN9986_c0_g1_i1.p1	24.541	436	851	564	1.84e-25	103	51.2338	77.305
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN18452_c0_g1_i1.p1	43.064	1384	1452	1399	0.0	1101	95.3168	98.9278
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	38.361	1379	1452	1395	0.0	899	94.9725	98.853
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN4518_c0_g1_i1.p1	36.978	1390	1452	1363	0.0	873	95.73	101.981
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN54_c0_g1_i1.p1	37.000	1400	1452	1379	0.0	870	96.4187	101.523
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN5424_c0_g1_i1.p1	35.610	1376	1452	1366	0.0	847	94.7658	100.732
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN662_c0_g4_i1.p1	37.004	1362	1452	1345	0.0	824	93.8017	101.264
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN662_c0_g1_i2.p1	32.270	1410	1452	1516	0.0	649	97.1074	93.0079
TRINITY_DN9474_c0_g1_i1.p1	TRINITY_DN254_c0_g1_i11.p1	29.627	1313	1452	1595	8.30e-142	467	90.427	82.3197
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN332_c0_g1_i5.p1	38.710	651	621	698	8.07e-154	452	104.831	93.2665
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN7214_c0_g1_i11.p1	39.080	609	621	655	2.76e-146	431	98.0676	92.9771
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN12905_c0_g2_i1.p1	34.173	635	621	629	1.62e-128	385	102.254	100.954
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN4644_c0_g1_i1.p1	35.935	615	621	638	6.70e-127	381	99.0338	96.395
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN4709_c2_g1_i1.p1	38.221	607	621	668	3.01e-121	367	97.7456	90.8683
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN13145_c0_g1_i1.p1	26.357	516	621	593	3.08e-36	135	83.0918	87.0152
TRINITY_DN9946_c0_g2_i2.p1	TRINITY_DN18075_c0_g1_i1.p1	24.568	521	621	645	3.13e-33	127	83.8969	80.7752
TRINITY_DN9986_c0_g1_i1.p1	TRINITY_DN16854_c0_g2_i2.p1	22.039	363	564	548	1.30e-06	42.7	64.3617	66.2409
